index, time in ns
1, 3732000
2, 1596500
3, 15598042
4, 278792
5, 279666
6, 263791
7, 284000
8, 314125
9, 310208
10, 281583
11, 290500
12, 292959
13, 307000
14, 299792
15, 329917
16, 1350333
17, 427459
18, 995750
19, 244208
20, 98625
21, 100708
22, 1518667
23, 272250
24, 95833
25, 138250
26, 101750
27, 94125
28, 94041
29, 112583
30, 115209
31, 94542
32, 95209
33, 94250
34, 95209
35, 93458
36, 95791
37, 416000
38, 362500
39, 81292
40, 80667
41, 218458
42, 80875
43, 111417
44, 82875
45, 80375
46, 80542
47, 80375
48, 80458
49, 83666
50, 80375
51, 80250
52, 81834
53, 80209
54, 80459
55, 80750
56, 84333
57, 99334
58, 81000
59, 80958
60, 95333
61, 80958
62, 80541
63, 91625
64, 80958
65, 91834
66, 80250
67, 84042
68, 131208
69, 80833
70, 80292
71, 79625
72, 81458
73, 79833
74, 80417
75, 81084
76, 81208
77, 81958
78, 143000
79, 92125
80, 80542
81, 80333
82, 80875
83, 152500
84, 80708
85, 82125
86, 94250
87, 112125
88, 82042
89, 79750
90, 80583
91, 106750
92, 79917
93, 80750
94, 79625
95, 82375
96, 83416
97, 80958
98, 89750
99, 79916
100, 80416
101, 80625
102, 79750
103, 80000
104, 79625
105, 79958
106, 283500
107, 80625
108, 80541
109, 79750
110, 80625
111, 154542
112, 80125
113, 80708
114, 101750
115, 77583
116, 78042
117, 85250
118, 114042
119, 109500
120, 77250
121, 87042
122, 78583
123, 81125
124, 127875
125, 79417
126, 78833
127, 79625
128, 85500
129, 222500
130, 81958
131, 81292
132, 80042
133, 84541
134, 259875
135, 79959
136, 91541
137, 80334
138, 81125
139, 135666
140, 80375
141, 80708
142, 80334
143, 80667
144, 127666
145, 80042
146, 80250
147, 79834
148, 80833
149, 124917
150, 79917
151, 80834
152, 81292
153, 82125
154, 215458
155, 94667
156, 81292
157, 79667
158, 81083
159, 150500
160, 85458
161, 96458
162, 79917
163, 100125
164, 176167
165, 80000
166, 80458
167, 80458
168, 81166
169, 124458
170, 80334
171, 83583
172, 84625
173, 79167
174, 215708
175, 84209
176, 81458
177, 78625
178, 94792
179, 139625
180, 78750
181, 77917
182, 80334
183, 78208
184, 118625
185, 77000
186, 78167
187, 77166
188, 84125
189, 120042
190, 78583
191, 80500
192, 79875
193, 91750
194, 162542
195, 78542
196, 212084
197, 80500
198, 110250
199, 79750
200, 107083
201, 83709
202, 108375
203, 79666
204, 108042
205, 80000
206, 114208
207, 84125
208, 112833
209, 81625
210, 108125
211, 80042
212, 153916
213, 108000
214, 135708
215, 107959
216, 139958
217, 104125
218, 134833
219, 104666
220, 135083
221, 104417
222, 129542
223, 108292
224, 128708
225, 101958
226, 131041
227, 100750
228, 135041
229, 100375
230, 128250
231, 117208
232, 133667
233, 103709
234, 131125
235, 103958
236, 137042
237, 106000
238, 134708
239, 105750
240, 133583
241, 102666
242, 128208
243, 101167
244, 130209
245, 103125
246, 130333
247, 106625
248, 130833
249, 102917
250, 145750
251, 102500
252, 128375
253, 100583
254, 128125
255, 103625
256, 134375
257, 110084
258, 197084
259, 104042
260, 142750
261, 101875
262, 131375
263, 102459
264, 131333
265, 101708
266, 139750
267, 101875
268, 128209
269, 115583
270, 129375
271, 102208
272, 128500
273, 107625
274, 147375
275, 105041
276, 130375
277, 101500
278, 126625
279, 100834
280, 132500
281, 108583
282, 124209
283, 109625
284, 123750
285, 101208
286, 123667
287, 99250
288, 138458
289, 97958
290, 124083
291, 101709
292, 126583
293, 118084
294, 126375
295, 98709
296, 127875
297, 98958
298, 125250
299, 102209
300, 126041
301, 97542
302, 128417
303, 102083
304, 338875
305, 82667
306, 82584
307, 91333
308, 82625
309, 116042
310, 82750
311, 108708
312, 85875
313, 83458
314, 100583
315, 83333
316, 82708
317, 88958
318, 86042
319, 84459
320, 92500
321, 88417
322, 84292
323, 84791
324, 82541
325, 82417
326, 85791
327, 82292
328, 82417
329, 84750
330, 92917
331, 82667
332, 83416
333, 82709
334, 82625
335, 83208
336, 83500
337, 84250
338, 83333
339, 91542
340, 84625
341, 82375
342, 85417
343, 82625
344, 82666
345, 86042
346, 82500
347, 82166
348, 81792
349, 84875
350, 84666
351, 83959
352, 83000
353, 88917
354, 85542
355, 82250
356, 83791
357, 84583
358, 91500
359, 83542
360, 83542
361, 84292
362, 83416
363, 84083
364, 87458
365, 84208
366, 84417
367, 86334
368, 83334
369, 85916
370, 83917
371, 83875
372, 83375
373, 84166
374, 83125
375, 83291
376, 85750
377, 83250
378, 83250
379, 84208
380, 83333
381, 85500
382, 83000
383, 93333
384, 88500
385, 86583
386, 87792
387, 89875
388, 85208
389, 86167
390, 88417
391, 90041
392, 84709
393, 82958
394, 84291
395, 82792
396, 82333
397, 84917
398, 83959
399, 83500
400, 81667
401, 83500
402, 2544917
403, 70417
404, 60584
405, 58750
406, 58708
407, 58958
408, 59417
409, 60916
410, 58917
411, 60375
412, 64459
413, 59125
414, 58792
415, 60750
416, 61916
417, 57708
418, 58667
419, 57708
420, 61333
421, 66208
422, 59584
423, 58834
424, 60666
425, 58958
426, 59541
427, 58625
428, 58250
429, 58958
430, 58958
431, 60833
432, 59750
433, 59834
434, 61042
435, 59375
436, 57709
437, 61375
438, 63208
439, 62333
440, 66500
