index, time in ns
1, 4157500
2, 1127959
3, 546125
4, 302125
5, 278083
6, 272084
7, 275250
8, 316958
9, 251875
10, 343667
11, 271416
12, 274416
13, 279458
14, 275708
15, 1055500
16, 464708
17, 118041
18, 798250
19, 371625
20, 95291
21, 103834
22, 97667
23, 101250
24, 104958
25, 95834
26, 95916
27, 94917
28, 96625
29, 99042
30, 94667
31, 95916
32, 95125
33, 98583
34, 96833
35, 95875
36, 95666
37, 95417
38, 102167
39, 97791
40, 95375
41, 115584
42, 98333
43, 106250
44, 95333
45, 94917
46, 116084
47, 96500
48, 95541
49, 96000
50, 96250
51, 129000
52, 95375
53, 95208
54, 95000
55, 95583
56, 95750
57, 97042
58, 95083
59, 95458
60, 104208
61, 99167
62, 95958
63, 96208
64, 97709
65, 96834
66, 99709
67, 98916
68, 97917
69, 105917
70, 97792
71, 94834
72, 113208
73, 97750
74, 97375
75, 95500
76, 95041
77, 98042
78, 95667
79, 96000
80, 97083
81, 96209
82, 95750
83, 95417
84, 96250
85, 95208
86, 95250
87, 103333
88, 95542
89, 95375
90, 95459
91, 95083
92, 95375
93, 97000
94, 98291
95, 97875
96, 99042
97, 112500
98, 131542
99, 98250
100, 99125
101, 94875
102, 94625
103, 95459
104, 96083
105, 96833
106, 479209
107, 158708
108, 95666
109, 94792
110, 95375
111, 94750
112, 96667
113, 95208
114, 94959
115, 100834
116, 101458
117, 94459
118, 94833
119, 100958
120, 95250
121, 94916
122, 94667
123, 99125
124, 107417
125, 95417
126, 135000
127, 96875
128, 98000
129, 96125
130, 94625
131, 94667
132, 94833
133, 94958
134, 98709
135, 94291
136, 96125
137, 94417
138, 93958
139, 95875
140, 94709
141, 94709
142, 103625
143, 95084
144, 95042
145, 94625
146, 95000
147, 95000
148, 94833
149, 97208
150, 94917
151, 94541
152, 106417
153, 94500
154, 94750
155, 94666
156, 94667
157, 99000
158, 95958
159, 95208
160, 98125
161, 93959
162, 143000
163, 96292
164, 95125
165, 96375
166, 98500
167, 97584
168, 96958
169, 97209
170, 98333
171, 94833
172, 95542
173, 98750
174, 95709
175, 102959
176, 94834
177, 103792
178, 104917
179, 103709
180, 98000
181, 96916
182, 107958
183, 95208
184, 95125
185, 95208
186, 97125
187, 95750
188, 95500
189, 99000
190, 96709
191, 95708
192, 100750
193, 102958
194, 102000
195, 94666
196, 96542
197, 132792
198, 118250
199, 117459
200, 114291
201, 123791
202, 122292
203, 127084
204, 114000
205, 114833
206, 122541
207, 185875
208, 123542
209, 114166
210, 113708
211, 114750
212, 115458
213, 115792
214, 119916
215, 129667
216, 114083
217, 114375
218, 114792
219, 116875
220, 114791
221, 116542
222, 114750
223, 117458
224, 115542
225, 121875
226, 123459
227, 114209
228, 118000
229, 115500
230, 118750
231, 115084
232, 122125
233, 135208
234, 124084
235, 114750
236, 180458
237, 116084
238, 117458
239, 120166
240, 114250
241, 115625
242, 114583
243, 115667
244, 114167
245, 112708
246, 112125
247, 113875
248, 115500
249, 114667
250, 117584
251, 116041
252, 10349542
253, 496250
254, 109750
255, 105875
256, 98916
257, 104708
258, 106000
259, 95125
260, 95000
261, 99959
262, 111625
263, 99042
264, 95417
265, 94708
266, 94917
267, 95833
268, 103875
269, 95708
270, 115792
271, 95375
272, 95125
273, 95084
274, 95125
275, 95458
276, 94292
277, 95292
278, 94917
279, 95833
280, 94917
281, 95000
282, 95333
283, 95667
284, 94792
285, 94917
286, 94375
287, 97750
288, 99250
289, 94541
290, 95000
291, 95208
292, 94708
293, 95334
294, 94750
295, 98375
296, 95083
297, 98708
298, 95292
299, 94708
300, 94958
301, 94750
302, 94375
303, 95000
304, 122875
305, 95125
306, 95500
307, 98917
308, 96292
309, 95000
310, 94708
311, 95084
312, 95458
313, 94333
314, 94708
315, 94625
316, 94625
317, 94959
318, 95208
319, 94583
320, 98209
321, 94708
322, 94625
323, 94833
324, 94916
325, 101542
326, 94791
327, 94459
328, 94625
329, 94917
330, 103833
331, 98500
332, 99208
333, 95708
334, 99000
335, 95334
336, 94625
337, 95375
338, 94334
339, 99833
340, 97375
341, 97125
342, 95167
343, 105917
344, 94791
345, 95167
346, 111417
347, 95167
348, 94625
349, 95209
350, 96917
351, 94084
352, 96958
353, 96459
354, 103625
355, 95292
356, 95209
357, 94500
358, 93750
359, 96458
360, 496709
361, 97375
362, 91542
363, 91750
364, 92292
365, 94167
366, 91541
367, 91792
368, 91792
369, 91792
370, 92875
371, 91583
372, 91792
373, 91792
374, 91584
375, 95209
376, 91292
377, 92125
378, 91792
379, 91708
380, 95250
381, 92125
382, 91708
383, 91583
384, 95083
385, 97292
386, 155541
387, 94708
388, 92292
389, 101291
390, 91667
391, 91125
392, 91417
393, 93208
394, 92042
395, 91084
396, 91625
397, 93042
398, 102250
399, 91458
400, 91667
401, 91583
402, 92416
403, 91083
404, 91750
405, 91333
406, 91583
407, 92333
408, 91708
409, 91417
410, 91083
411, 91792
412, 91500
413, 91792
414, 91583
415, 91667
416, 97042
417, 91458
418, 91583
419, 91250
420, 91542
421, 91791
422, 91833
423, 91375
424, 98584
425, 104375
426, 92958
427, 91417
428, 91166
429, 91500
430, 91250
431, 91167
432, 94000
433, 91208
434, 99583
435, 109459
436, 95166
437, 91459
438, 90792
439, 92333
440, 91375
441, 91208
442, 91583
443, 91708
444, 91917
445, 91875
446, 93459
447, 91709
448, 91583
449, 91792
450, 91542
451, 91416
452, 91916
453, 120209
454, 94791
455, 93208
456, 93583
457, 95125
458, 93000
459, 92500
460, 91666
