index, time in ns
1, 3022167
2, 1035917
3, 515750
4, 428875
5, 385041
6, 273416
7, 291958
8, 285792
9, 1066584
10, 358833
11, 279791
12, 256917
13, 259584
14, 270542
15, 1036958
16, 781667
17, 331750
18, 101875
19, 102334
20, 102083
21, 95959
22, 91917
23, 98541
24, 90084
25, 162250
26, 89292
27, 90708
28, 98542
29, 92417
30, 92042
31, 91917
32, 91791
33, 94125
34, 102000
35, 89542
36, 99083
37, 91833
38, 91667
39, 91500
40, 91750
41, 94458
42, 91458
43, 93083
44, 90791
45, 90792
46, 91500
47, 91750
48, 91208
49, 89542
50, 90708
51, 112208
52, 91833
53, 89750
54, 92416
55, 92458
56, 92291
57, 90167
58, 89584
59, 89666
60, 92500
61, 92042
62, 93791
63, 90458
64, 89750
65, 90542
66, 90667
67, 93167
68, 88834
69, 97958
70, 89542
71, 90166
72, 90750
73, 91750
74, 91500
75, 89916
76, 90500
77, 89792
78, 90791
79, 89209
80, 90500
81, 89667
82, 91834
83, 91875
84, 92209
85, 93166
86, 91833
87, 95208
88, 91916
89, 91083
90, 92666
91, 88667
92, 91000
93, 95334
94, 91333
95, 966166
96, 261208
97, 89292
98, 92833
99, 87959
100, 88250
101, 90750
102, 88583
103, 91458
104, 86292
105, 99916
106, 89459
107, 88500
108, 85958
109, 88916
110, 94125
111, 89542
112, 87167
113, 88292
114, 85541
115, 86500
116, 87084
117, 85500
118, 86250
119, 85750
120, 85334
121, 85917
122, 91417
123, 98291
124, 103459
125, 92667
126, 139375
127, 94041
128, 95208
129, 92875
130, 86500
131, 88625
132, 88042
133, 89833
134, 87625
135, 87584
136, 88084
137, 90917
138, 87375
139, 89041
140, 88500
141, 88125
142, 94291
143, 87958
144, 85375
145, 87083
146, 87625
147, 124375
148, 89250
149, 95583
150, 87959
151, 88042
152, 88000
153, 92791
154, 86458
155, 87541
156, 88125
157, 86000
158, 88541
159, 85834
160, 93292
161, 88333
162, 86542
163, 87084
164, 92000
165, 85542
166, 88333
167, 87667
168, 87500
169, 90125
170, 85333
171, 87917
172, 85417
173, 93583
174, 89166
175, 88625
176, 88167
177, 89708
178, 85583
179, 90375
180, 87250
181, 87792
182, 91375
183, 92584
184, 89709
185, 91166
186, 89916
187, 90375
188, 86375
189, 90042
190, 90625
191, 99333
192, 89750
193, 88792
194, 87375
195, 95583
196, 100166
197, 136084
198, 122291
199, 113750
200, 122291
201, 119292
202, 115167
203, 109542
204, 110666
205, 111708
206, 112208
207, 294292
208, 113083
209, 111458
210, 111334
211, 108250
212, 111583
213, 113333
214, 108250
215, 122042
216, 114166
217, 109167
218, 107666
219, 108709
220, 107333
221, 157250
222, 110792
223, 106209
224, 110584
225, 105292
226, 110334
227, 104791
228, 105167
229, 109000
230, 108708
231, 109917
232, 109500
233, 129125
234, 116042
235, 111959
236, 111584
237, 107458
238, 111291
239, 108667
240, 107458
241, 107875
242, 115250
243, 111375
244, 110792
245, 108458
246, 112208
247, 107666
248, 106958
249, 107584
250, 107000
251, 109459
252, 109250
253, 105791
254, 108792
255, 110250
256, 108459
257, 116333
258, 111042
259, 108667
260, 108500
261, 106250
262, 111542
263, 110167
264, 107584
265, 106000
266, 106500
267, 106750
268, 109708
269, 107375
270, 11885209
271, 167917
272, 95125
273, 98417
274, 88875
275, 87333
276, 85875
277, 86125
278, 85750
279, 91500
280, 94333
281, 85291
282, 88000
283, 86625
284, 85875
285, 86291
286, 86083
287, 85500
288, 99833
289, 85709
290, 86292
291, 85834
292, 86291
293, 85708
294, 86000
295, 86375
296, 94375
297, 89333
298, 86417
299, 86375
300, 86833
301, 86625
302, 85583
303, 85500
304, 85875
305, 85583
306, 90125
307, 85417
308, 85750
309, 86584
310, 85084
311, 85875
312, 86375
313, 85667
314, 85333
315, 85458
316, 85958
317, 86083
318, 86084
319, 85875
320, 85625
321, 85750
322, 85875
323, 85500
324, 86000
325, 93667
326, 86959
327, 86250
328, 89417
329, 85417
330, 85417
331, 92750
332, 86250
333, 86583
334, 87541
335, 91583
336, 86000
337, 86542
338, 85125
339, 90583
340, 86083
341, 87584
342, 85959
343, 98458
344, 85625
345, 86250
346, 85292
347, 86334
348, 85542
349, 86541
350, 87417
351, 133250
352, 88291
353, 85209
354, 86292
355, 85833
356, 85417
357, 90208
358, 96625
359, 86917
360, 85417
361, 92917
362, 86083
363, 85709
364, 87208
365, 90417
366, 86333
367, 86042
368, 86166
369, 85750
370, 89625
371, 85416
372, 85917
373, 86000
374, 85250
375, 85458
376, 85250
377, 99834
378, 86125
379, 85375
380, 87667
381, 85500
382, 85083
383, 85625
384, 87917
385, 90625
386, 87709
387, 85583
388, 86875
389, 90250
390, 86833
391, 89042
392, 87625
393, 86625
394, 85625
395, 91917
396, 89625
397, 86583
398, 102375
399, 86000
400, 85458
401, 85916
402, 84416
403, 98167
404, 100042
405, 86542
406, 87541
407, 86958
408, 86042
409, 85250
410, 85833
411, 85583
412, 85042
413, 86541
414, 85083
415, 85500
416, 92333
417, 85208
418, 85625
419, 85792
420, 85291
421, 85583
422, 85625
423, 84833
424, 85250
425, 87167
426, 87916
427, 86125
428, 85209
429, 85542
430, 85292
431, 85500
432, 85833
433, 85667
434, 89167
435, 89875
436, 88958
437, 85458
438, 85375
439, 85875
440, 85583
441, 85083
442, 85375
443, 84959
444, 85250
445, 85542
446, 88542
447, 85083
448, 89833
449, 414709
450, 221292
451, 85709
452, 86917
453, 100000
454, 252208
455, 87458
456, 85541
457, 85542
458, 85750
459, 85625
460, 85750
461, 85667
462, 90208
463, 86166
464, 85625
465, 86334
466, 85708
467, 238583
468, 90083
469, 86083
470, 86583
471, 173291
472, 258208
473, 86208
474, 87709
475, 85667
476, 91292
477, 96583
478, 89416
479, 88292
480, 90333
481, 85917
482, 89958
483, 95875
484, 88666
485, 233084
486, 89708
487, 87834
488, 86667
489, 93750
490, 254042
491, 88875
492, 87042
493, 87834
494, 85458
495, 251500
496, 85500
497, 86542
498, 86833
499, 88459
500, 85250
501, 88292
502, 87208
503, 88292
504, 88125
505, 88584
506, 86083
507, 88375
508, 235917
509, 86250
510, 85375
511, 86125
512, 88042
513, 256958
514, 90625
515, 87375
516, 86584
517, 86083
518, 85834
519, 92791
520, 813208
521, 286708
522, 62042
523, 62000
524, 62375
525, 62750
526, 220291
527, 63250
528, 64458
529, 62875
530, 63666
531, 63875
532, 80167
533, 73667
534, 76917
535, 77417
536, 77875
537, 73833
538, 73958
539, 74959
540, 75041
541, 62209
542, 62917
543, 61750
544, 66917
545, 64084
546, 62666
547, 61834
548, 62750
549, 62958
550, 62250
551, 63333
552, 59875
553, 62958
554, 60750
555, 60750
556, 61791
557, 60625
558, 61584
559, 61750
560, 62584
561, 61750
562, 67250
563, 62709
564, 61000
565, 60542
566, 60750
567, 60833
568, 64542
569, 60042
570, 60875
571, 64083
572, 61667
573, 62334
574, 59375
575, 60500
576, 61583
577, 62667
578, 60625
579, 60625
580, 64459
581, 98333
582, 93709
583, 94916
584, 88958
585, 94333
586, 94958
587, 94709
588, 92250
589, 91125
590, 98250
591, 94000
592, 88834
593, 91500
594, 93583
595, 167750
596, 92084
597, 95292
598, 226333
599, 98084
600, 91000
601, 88250
602, 89167
603, 87959
604, 87750
605, 87791
606, 86958
607, 87958
608, 89167
609, 87750
610, 88542
611, 90500
612, 95375
613, 86916
614, 84792
615, 88041
616, 88667
617, 96125
618, 85167
619, 85750
620, 85083
621, 88000
622, 87666
623, 84875
624, 128750
625, 85458
626, 93292
627, 88334
628, 85959
629, 85041
630, 85250
631, 87916
632, 86666
633, 85125
634, 88292
635, 92000
636, 85125
637, 85917
638, 84917
639, 87875
640, 89250
641, 85917
642, 88750
643, 88708
644, 90625
645, 86000
646, 85875
647, 88709
648, 86417
649, 90125
650, 87208
651, 87291
652, 88625
653, 87500
654, 87083
655, 84917
656, 87250
657, 85125
658, 85458
659, 86167
660, 84792
661, 84875
662, 84917
663, 85625
664, 87500
665, 87500
666, 85834
667, 85375
668, 84958
669, 86750
670, 87375
671, 84292
672, 92083
673, 86750
674, 84542
675, 84708
676, 92000
677, 87500
678, 89083
679, 89583
680, 87041
681, 95250
682, 88167
683, 87750
684, 88667
685, 89708
686, 89958
687, 97917
688, 90917
689, 92583
690, 98625
691, 88208
692, 87666
693, 90458
694, 90875
695, 111333
696, 88333
697, 86583
698, 87000
699, 89833
700, 86333
701, 86167
702, 88375
703, 91584
704, 87625
705, 87042
706, 86541
707, 89958
708, 93792
709, 91916
710, 89042
711, 87250
712, 88083
713, 88459
714, 92208
715, 86708
716, 86583
717, 86875
718, 89917
719, 91708
720, 91875
721, 93083
722, 90792
723, 89750
724, 91458
725, 92458
726, 86166
727, 87166
728, 85042
729, 86416
730, 86458
731, 84875
732, 85459
733, 85334
734, 87709
735, 84667
736, 91125
737, 84625
738, 84500
739, 85042
740, 86125
741, 87625
742, 87542
743, 84917
744, 85333
745, 96875
746, 83875
747, 83000
748, 84375
749, 83875
750, 86042
751, 85667
752, 87958
753, 85958
754, 90042
755, 82917
756, 84084
757, 86041
758, 84167
759, 83166
760, 84500
761, 85000
762, 85959
763, 95833
764, 84792
765, 87459
766, 84875
767, 87416
768, 85708
769, 85250
770, 84292
771, 84375
772, 89292
773, 86166
774, 90500
775, 88958
776, 85875
777, 85667
778, 90500
779, 85625
780, 85792
781, 92000
782, 86625
783, 92083
784, 88458
785, 103000
786, 84750
787, 85333
788, 85292
789, 88708
790, 86042
791, 90291
792, 86583
793, 88583
794, 86166
795, 87333
796, 88125
797, 109000
798, 92000
799, 93459
800, 94375
801, 83792
802, 87459
803, 89333
804, 85792
805, 84917
806, 87042
807, 85834
808, 85375
809, 87459
810, 86084
811, 86708
812, 88416
813, 86959
814, 88583
815, 85875
816, 87125
817, 87625
818, 91500
819, 93750
820, 87417
821, 97084
822, 85708
823, 86958
824, 89959
825, 89375
826, 87542
827, 88625
828, 87000
829, 89125
830, 85916
831, 88291
832, 85500
833, 88333
834, 88709
835, 90125
836, 93708
837, 88458
838, 84667
839, 85333
840, 87208
841, 87334
842, 86125
843, 90459
844, 84833
845, 93167
846, 85834
847, 87042
848, 86958
849, 86500
850, 87375
851, 88416
852, 85333
853, 88000
854, 86000
855, 93334
856, 90584
857, 100125
858, 84791
859, 84833
860, 85125
861, 83791
862, 86958
863, 85500
864, 88042
865, 88250
866, 85167
867, 87875
868, 85375
869, 87750
870, 84667
871, 88000
872, 87417
873, 91916
874, 85250
875, 88792
876, 83667
877, 84541
878, 87875
879, 85167
880, 87834
881, 84500
882, 88542
883, 88542
884, 89834
885, 85292
886, 90584
887, 87000
888, 84750
889, 87292
890, 86167
891, 92208
892, 88833
893, 98916
894, 88166
895, 85292
896, 89125
897, 84583
898, 85542
899, 85709
900, 85333
901, 87625
902, 85875
903, 85417
904, 86000
905, 88500
906, 86041
907, 84916
908, 85250
909, 92458
910, 86125
911, 86834
912, 85875
913, 88917
914, 85750
915, 85625
916, 85959
917, 89417
918, 86875
919, 85542
920, 84917
921, 85542
922, 85583
923, 85208
924, 87375
925, 85667
926, 86083
927, 86375
928, 93250
929, 85583
930, 90583
931, 85709
932, 86875
933, 85625
934, 84959
935, 87625
936, 84583
937, 87334
938, 87458
939, 85375
940, 86209
941, 84584
942, 88375
943, 85625
944, 85500
945, 85042
946, 89958
947, 85375
948, 96042
949, 86666
950, 85625
951, 86708
952, 85791
953, 86000
954, 85416
955, 87250
956, 85416
957, 86583
958, 91000
959, 85958
960, 85958
961, 86625
962, 86583
963, 86750
964, 103916
965, 88208
966, 87833
967, 86541
968, 92000
969, 86708
970, 88750
971, 87959
972, 90417
973, 87875
974, 91458
975, 88875
976, 89667
977, 90084
978, 88541
979, 93083
980, 90959
981, 88792
982, 100542
983, 86709
984, 93000
985, 91833
986, 90917
987, 90834
988, 94208
989, 89292
990, 84500
991, 86041
992, 90208
993, 87667
994, 86416
995, 85875
996, 87000
997, 87667
998, 91792
999, 85458
1000, 106666
1001, 94750
1002, 90958
1003, 87958
1004, 84041
1005, 85875
1006, 85041
1007, 84916
1008, 87083
1009, 86500
1010, 85000
1011, 86792
1012, 86875
1013, 85542
1014, 86083
1015, 84042
1016, 85708
1017, 84791
1018, 85750
1019, 92959
1020, 85333
1021, 85250
1022, 85625
1023, 85000
1024, 87083
1025, 84709
1026, 84667
1027, 83959
1028, 94417
1029, 91625
1030, 91500
1031, 91375
1032, 92459
1033, 94583
1034, 95166
1035, 91458
1036, 92750
1037, 99417
1038, 93084
1039, 93875
1040, 91250
1041, 93417
1042, 94709
1043, 86459
1044, 85667
1045, 87833
1046, 92084
1047, 86708
1048, 87875
1049, 95541
1050, 90958
1051, 88500
1052, 94750
1053, 85209
1054, 86500
1055, 96083
1056, 85958
1057, 86417
1058, 89667
1059, 91083
1060, 88375
1061, 85125
1062, 85042
1063, 91375
1064, 86834
1065, 88750
1066, 91958
1067, 89375
1068, 85208
1069, 85167
1070, 88084
1071, 85458
1072, 87667
1073, 88459
1074, 106084
1075, 89208
1076, 86458
1077, 88666
1078, 89667
1079, 87250
1080, 91958
1081, 88958
1082, 90917
1083, 91041
1084, 86125
1085, 91083
1086, 86875
1087, 88333
1088, 86416
1089, 92375
1090, 92333
1091, 85583
1092, 89291
1093, 87208
1094, 89875
1095, 86459
1096, 87250
1097, 91042
1098, 93667
1099, 92292
1100, 87958
1101, 98667
1102, 86750
1103, 89000
1104, 90916
1105, 86083
1106, 89167
1107, 89542
1108, 90541
1109, 89458
1110, 100167
1111, 91458
1112, 91375
1113, 91042
1114, 94042
1115, 92333
1116, 92584
1117, 110000
1118, 86291
1119, 93084
1120, 92958
1121, 87625
1122, 88000
1123, 86416
1124, 90667
1125, 89125
1126, 85834
1127, 90375
1128, 91916
1129, 84583
1130, 90208
1131, 85708
1132, 89500
1133, 86917
1134, 87334
1135, 84959
1136, 85000
1137, 87667
1138, 87750
1139, 86958
1140, 84583
1141, 88000
1142, 87334
1143, 84792
1144, 87584
1145, 84208
1146, 90041
1147, 97459
1148, 86792
1149, 85375
1150, 90083
1151, 93000
1152, 87917
1153, 97792
1154, 91041
1155, 83833
1156, 91833
1157, 85416
1158, 86958
1159, 87000
1160, 87375
1161, 88625
1162, 88417
1163, 90583
1164, 84708
1165, 86875
1166, 87583
1167, 84917
1168, 83625
1169, 87750
1170, 86750
1171, 87167
1172, 86334
1173, 88041
1174, 90291
1175, 84167
1176, 88208
1177, 86500
1178, 85125
1179, 84666
1180, 87375
1181, 84291
1182, 88125
1183, 93959
1184, 90791
1185, 90500
1186, 89625
1187, 91625
1188, 89791
1189, 107583
1190, 90375
1191, 89417
1192, 95583
1193, 91458
1194, 87875
1195, 88500
1196, 86541
1197, 90833
1198, 88375
1199, 88750
1200, 88208
1201, 90375
1202, 92834
1203, 85209
1204, 84292
1205, 87208
1206, 88750
1207, 87333
1208, 83583
1209, 86250
1210, 90083
1211, 84833
1212, 88000
1213, 89875
1214, 83875
1215, 87458
1216, 89208
1217, 87417
1218, 89000
1219, 86666
1220, 90458
1221, 90750
1222, 91500
1223, 89709
1224, 87042
1225, 99500
1226, 88583
1227, 85291
1228, 99250
1229, 88458
1230, 90583
1231, 85292
1232, 86042
1233, 90083
1234, 85917
1235, 85583
1236, 90209
1237, 86750
1238, 93042
1239, 86958
1240, 89375
1241, 89792
1242, 88042
1243, 89375
1244, 88125
1245, 89500
1246, 87917
1247, 86042
1248, 88250
1249, 90166
1250, 90375
1251, 85250
1252, 84709
1253, 84542
1254, 90375
1255, 86709
1256, 103167
1257, 94958
1258, 89834
1259, 84875
1260, 86000
1261, 90791
1262, 88083
1263, 88709
1264, 85959
1265, 94417
1266, 91375
1267, 91000
1268, 94625
1269, 91000
1270, 89791
1271, 89375
1272, 89667
1273, 90292
1274, 96041
1275, 93292
1276, 95334
1277, 88250
1278, 85375
1279, 88541
1280, 90833
1281, 95292
1282, 92708
1283, 93875
1284, 98125
1285, 90458
1286, 91500
1287, 91000
1288, 90500
1289, 91291
1290, 85625
1291, 90708
1292, 89042
1293, 93000
1294, 85583
1295, 86250
1296, 99417
1297, 93250
1298, 90125
1299, 86917
1300, 87083
1301, 90334
1302, 88917
1303, 91917
1304, 91500
1305, 88209
1306, 88417
1307, 86208
1308, 88583
1309, 86916
1310, 87667
1311, 90792
1312, 85959
1313, 86834
1314, 91208
1315, 87584
1316, 87083
1317, 85041
1318, 87000
1319, 85292
1320, 89709
1321, 87916
1322, 84875
1323, 86916
1324, 86458
1325, 84917
1326, 84958
1327, 84417
1328, 85708
1329, 93125
1330, 92167
1331, 86292
1332, 103042
1333, 88333
1334, 91500
1335, 90917
1336, 88084
1337, 89500
1338, 94625
1339, 93375
1340, 93834
1341, 92041
1342, 92791
1343, 91583
1344, 92625
1345, 86542
1346, 86416
1347, 87916
1348, 92333
1349, 83459
1350, 87541
1351, 84292
1352, 86084
1353, 85459
1354, 88500
1355, 84625
1356, 87417
1357, 85958
1358, 85291
1359, 88041
1360, 86000
1361, 85250
1362, 84167
1363, 86375
1364, 84625
1365, 87042
1366, 90917
1367, 85541
1368, 98000
1369, 83958
1370, 84833
1371, 84750
1372, 85750
1373, 89833
1374, 90625
1375, 91541
1376, 84500
1377, 84500
1378, 83750
1379, 83625
1380, 84834
1381, 84750
1382, 84208
1383, 87167
1384, 90500
1385, 85625
1386, 88250
1387, 85833
1388, 88500
1389, 85042
1390, 87291
1391, 84791
1392, 87792
1393, 89083
1394, 87500
1395, 85416
1396, 88125
1397, 84875
1398, 88417
1399, 85084
1400, 85667
1401, 85666
1402, 85750
1403, 93292
1404, 102417
1405, 86292
1406, 93042
1407, 86208
1408, 86042
1409, 84875
1410, 87625
1411, 93541
1412, 93750
1413, 94375
1414, 90958
1415, 91541
1416, 95917
1417, 91708
1418, 89417
1419, 85542
1420, 88625
1421, 96833
1422, 88500
1423, 87959
1424, 88125
1425, 87084
1426, 90292
1427, 85750
1428, 85833
1429, 86375
1430, 88833
1431, 84792
1432, 85791
1433, 85958
1434, 90709
1435, 88084
1436, 88209
1437, 89125
1438, 88125
1439, 97833
1440, 109792
1441, 98625
1442, 93208
1443, 89916
1444, 93750
1445, 94708
1446, 92250
1447, 87375
1448, 90125
1449, 86375
1450, 85458
1451, 85417
1452, 92125
1453, 85208
1454, 92291
1455, 85417
1456, 87834
1457, 95917
1458, 85458
1459, 88250
1460, 86208
1461, 85750
1462, 94834
1463, 92083
1464, 89334
1465, 89000
1466, 90416
1467, 88875
1468, 85875
1469, 87750
1470, 91000
1471, 92750
1472, 88792
1473, 93666
1474, 85833
1475, 85375
1476, 94292
1477, 87375
1478, 84417
1479, 93375
1480, 87917
1481, 84167
1482, 91208
1483, 83500
1484, 96667
1485, 94667
1486, 89708
1487, 89083
1488, 92916
1489, 90209
1490, 92666
1491, 84166
1492, 85750
1493, 85167
1494, 100375
1495, 86458
1496, 90750
1497, 87750
1498, 87709
1499, 85708
1500, 89750
1501, 89625
1502, 89250
1503, 83916
1504, 85458
1505, 100833
1506, 85500
1507, 90792
1508, 89750
1509, 90292
1510, 88125
1511, 104375
1512, 92916
1513, 89708
1514, 89292
1515, 95417
1516, 88208
1517, 85041
1518, 88667
1519, 87042
1520, 90542
1521, 86792
1522, 84958
1523, 92333
1524, 92750
1525, 90167
1526, 85417
1527, 85166
1528, 85458
1529, 86375
1530, 88041
1531, 88166
1532, 85333
1533, 84625
1534, 87166
1535, 85750
1536, 86167
1537, 85458
1538, 88709
1539, 86167
1540, 85334
1541, 85583
1542, 85875
1543, 84166
1544, 85541
1545, 87666
1546, 92208
1547, 100125
1548, 86667
1549, 92167
1550, 90125
1551, 85833
1552, 86542
1553, 87083
1554, 86000
1555, 86709
1556, 88250
1557, 93667
1558, 97083
1559, 94000
1560, 93750
1561, 93417
1562, 88666
1563, 88459
1564, 88250
1565, 88875
1566, 97666
1567, 104708
1568, 88000
1569, 91333
1570, 93458
1571, 98292
1572, 92959
1573, 91125
1574, 93541
1575, 92542
1576, 93000
1577, 91042
1578, 93500
1579, 94000
1580, 91792
1581, 91083
1582, 94583
1583, 138500
1584, 92625
1585, 99500
1586, 92500
1587, 94667
1588, 97042
1589, 98416
1590, 101166
1591, 97000
1592, 92959
1593, 96417
1594, 97417
1595, 97792
1596, 97292
1597, 95292
1598, 90709
1599, 97958
1600, 106375
1601, 93375
1602, 107042
1603, 100417
1604, 94375
1605, 98292
1606, 90791
1607, 94875
1608, 93792
1609, 89250
1610, 89417
1611, 87709
1612, 87125
1613, 96875
1614, 111209
1615, 97166
1616, 99500
1617, 96416
1618, 95500
1619, 96042
1620, 89625
1621, 89458
1622, 114542
1623, 90459
1624, 86542
1625, 88291
1626, 86375
1627, 92375
1628, 87500
1629, 88708
1630, 85875
1631, 87334
1632, 85541
1633, 87750
1634, 93750
1635, 86458
1636, 86833
1637, 97292
1638, 88875
1639, 88875
1640, 1472167
1641, 146000
1642, 61958
1643, 59167
1644, 61959
1645, 66916
1646, 74084
1647, 80000
1648, 76959
1649, 78708
1650, 72375
1651, 73917
1652, 71583
1653, 61166
1654, 59333
1655, 60958
1656, 61375
1657, 61750
1658, 71666
1659, 60292
1660, 59875
1661, 62250
1662, 59417
1663, 59833
1664, 60959
1665, 61542
1666, 60750
1667, 61042
1668, 60375
1669, 60791
1670, 60792
1671, 60292
1672, 62000
1673, 62208
1674, 60667
1675, 60500
1676, 60625
1677, 69000
1678, 60167
1679, 60917
1680, 60750
1681, 61000
1682, 61208
1683, 61917
1684, 61583
1685, 62125
1686, 61917
1687, 59958
1688, 60416
1689, 61625
1690, 60750
1691, 61709
1692, 62167
1693, 61291
1694, 60166
1695, 72458
1696, 63084
1697, 60833
1698, 62083
1699, 63000
1700, 62333
1701, 61041
1702, 60500
1703, 61958
1704, 62417
1705, 60583
1706, 60083
1707, 60584
1708, 61166
1709, 60292
1710, 60500
1711, 60833
1712, 60625
1713, 65541
1714, 60875
1715, 60625
1716, 63250
1717, 62625
1718, 61542
1719, 61416
1720, 61250
1721, 60833
1722, 62875
1723, 60125
1724, 60417
1725, 60416
1726, 61083
1727, 61750
1728, 63458
1729, 61458
1730, 59792
1731, 60542
1732, 62542
1733, 62166
1734, 62084
1735, 60416
1736, 59917
1737, 60417
1738, 61292
1739, 62166
1740, 61417
1741, 61042
1742, 62167
1743, 61125
1744, 60709
1745, 61750
1746, 61125
1747, 62583
1748, 60292
1749, 60667
1750, 61583
1751, 62500
1752, 59375
1753, 65875
1754, 62416
1755, 61041
1756, 61000
1757, 62542
1758, 60792
1759, 63708
1760, 59333
1761, 61250
1762, 59833
1763, 60458
1764, 60208
1765, 61250
1766, 60041
1767, 61709
1768, 62542
1769, 61333
1770, 60125
1771, 61458
1772, 59458
1773, 61209
1774, 60125
1775, 63000
1776, 61209
1777, 62792
1778, 63709
1779, 60792
1780, 60000
1781, 60458
1782, 61375
1783, 59875
1784, 61000
1785, 61000
1786, 71292
