index, time in ns
1, 2915375
2, 137083
3, 231917
4, 90000
5, 130000
6, 670167
7, 964084
8, 23000
9, 20166
10, 27333
11, 20208
12, 21292
13, 19458
14, 19375
15, 22250
16, 22000
17, 21375
18, 20000
19, 19917
20, 23208
21, 20833
22, 20000
23, 298958
24, 116000
25, 82833
26, 21333
27, 101042
28, 21917
29, 21250
30, 20125
31, 37500
32, 20458
33, 20041
34, 20083
35, 19791
36, 20125
37, 20584
38, 20958
39, 19667
40, 19958
41, 20541
42, 23041
43, 19916
44, 20083
45, 20250
46, 19917
47, 20375
48, 19959
49, 23333
50, 20125
51, 20167
52, 20750
53, 279042
54, 35167
55, 21583
56, 20083
57, 21250
58, 20417
59, 19875
60, 19667
61, 23416
62, 20709
63, 19417
64, 19666
65, 21375
66, 19875
67, 19916
68, 20667
69, 21083
70, 20000
71, 20042
72, 21000
73, 20000
74, 19917
75, 19833
76, 19625
77, 19791
78, 23083
79, 20458
80, 20042
81, 19833
82, 20708
83, 19833
84, 19750
85, 58125
86, 21167
87, 19792
88, 24083
89, 20708
90, 19917
91, 19792
92, 19666
93, 20250
94, 19834
95, 20084
96, 19708
97, 20000
98, 20833
99, 20042
100, 19958
101, 19541
102, 21042
103, 21292
104, 19958
105, 19958
106, 21125
107, 20167
108, 19834
109, 20042
110, 21292
111, 19708
112, 19708
113, 20917
114, 20083
115, 33250
116, 36584
117, 38708
118, 305167
119, 44375
120, 49708
121, 16417
122, 167708
123, 641583
124, 339375
125, 51042
126, 8625
127, 8000
128, 9125
129, 8500
130, 7833
131, 7834
132, 8000
133, 8042
134, 7666
135, 7834
136, 7666
137, 7750
138, 7791
139, 8542
140, 8208
141, 7666
142, 7625
143, 9375
144, 7792
145, 8000
146, 7792
147, 8750
148, 7750
149, 7666
150, 8000
151, 9167
152, 51375
153, 40167
154, 8125
155, 110375
156, 97083
157, 9500
158, 8083
159, 8000
160, 9166
161, 7958
162, 7916
163, 7833
164, 7875
165, 7666
166, 7833
167, 7750
168, 8000
169, 7958
170, 8042
171, 7917
172, 7833
173, 7666
174, 7750
175, 7792
176, 7541
177, 7792
178, 7667
179, 7583
180, 8958
181, 8042
182, 7458
183, 7500
184, 8958
185, 7666
186, 7875
187, 7666
188, 8583
189, 7625
190, 7542
191, 7958
192, 9458
193, 7792
194, 7666
195, 7750
196, 8625
197, 7542
198, 8583
199, 13333
200, 8584
201, 8750
202, 8208
203, 8084
204, 8000
205, 8250
206, 7917
207, 7875
208, 7875
209, 7916
210, 7916
211, 8125
212, 8250
213, 7750
214, 7625
215, 7709
216, 8375
217, 8500
218, 8042
219, 8125
220, 8959
221, 46417
222, 10041
223, 8084
224, 7750
225, 9791
226, 7792
227, 7875
228, 7625
229, 8916
230, 7750
231, 7625
232, 8250
233, 8708
234, 7750
235, 7792
236, 7792
237, 8500
238, 7750
239, 7875
240, 49208
241, 12750
242, 9041
243, 8041
244, 7875
245, 8792
246, 7917
247, 8167
248, 8542
249, 8458
250, 8500
251, 8459
252, 8458
253, 11416
254, 9333
255, 339125
256, 106084
257, 376792
258, 398167
259, 30042
260, 8083
261, 7875
262, 7667
263, 7791
264, 7708
265, 7875
266, 8959
267, 7667
268, 7791
269, 7709
270, 8916
271, 7542
272, 7625
273, 7750
274, 206083
275, 33958
276, 8125
277, 7750
278, 7833
279, 7584
280, 8042
281, 12875
282, 8833
283, 8708
284, 7542
285, 7875
286, 8334
287, 8959
288, 8417
289, 7958
290, 7708
291, 7375
292, 7500
293, 8042
294, 7250
295, 7500
296, 7250
297, 7209
298, 7375
299, 7250
300, 7250
301, 7250
302, 7042
303, 7083
304, 8625
305, 7208
306, 7250
307, 7083
308, 7167
309, 7333
310, 7208
311, 7250
312, 7167
313, 7291
314, 7042
315, 7458
316, 7250
317, 7292
318, 7250
319, 7084
320, 7000
321, 7166
322, 7334
323, 7125
324, 7333
325, 7166
326, 7167
327, 7125
328, 7125
329, 7250
330, 7250
331, 7292
332, 7334
333, 7250
334, 7208
335, 7167
336, 7375
337, 7167
338, 7042
339, 7167
340, 7250
341, 7250
342, 7083
343, 7167
344, 7250
345, 7291
346, 7375
347, 7167
348, 7084
349, 7042
350, 7000
351, 7167
352, 7208
353, 7125
354, 7458
355, 7250
356, 7292
357, 7083
358, 7250
359, 7250
360, 7042
361, 7292
362, 7792
363, 8500
364, 7709
365, 7667
366, 8084
367, 7667
368, 7500
369, 7375
370, 7583
371, 7458
372, 7292
373, 7250
374, 7375
375, 7541
376, 7542
377, 7375
378, 7667
379, 7375
380, 7375
381, 7375
382, 7458
383, 16125
384, 7958
385, 7958
386, 8084
387, 8000
388, 7583
389, 8083
390, 7375
391, 7500
392, 8125
393, 7583
394, 7834
395, 7792
396, 7708
397, 7875
398, 8084
399, 7834
400, 7667
401, 7958
402, 7833
403, 7792
404, 54542
405, 48125
406, 44792
407, 263250
408, 102542
409, 7375
410, 7292
411, 7333
412, 7208
413, 6958
414, 6833
415, 7167
416, 7292
417, 7125
418, 7000
419, 7334
420, 7167
421, 7125
422, 7083
423, 7208
424, 7250
425, 7042
426, 7083
427, 7167
428, 7209
429, 7167
430, 7042
431, 6959
432, 7250
433, 6958
434, 7083
435, 22333
436, 7125
437, 7042
438, 7000
439, 7125
440, 6875
441, 7042
442, 6959
443, 7084
444, 7083
445, 7792
446, 6917
447, 10042
448, 7000
449, 10042
450, 7042
451, 7750
452, 7167
453, 7042
454, 6958
455, 7083
456, 7042
457, 6917
458, 10125
459, 6958
460, 7042
461, 7000
462, 6834
463, 7542
464, 7042
465, 7208
466, 7208
467, 7083
468, 6834
469, 7083
470, 7000
471, 7042
472, 6875
473, 7083
474, 7042
475, 7208
476, 6917
477, 7167
478, 7000
479, 7042
480, 7125
481, 6875
482, 7125
483, 7084
484, 7083
485, 7042
486, 7000
487, 6917
488, 7125
489, 7417
490, 7416
491, 7250
492, 7125
493, 7250
494, 7416
495, 7375
496, 7291
497, 7583
498, 7250
499, 7166
500, 7084
501, 6834
502, 6916
503, 7042
504, 7125
505, 7083
506, 6917
507, 7083
508, 6833
509, 6958
510, 6958
511, 7209
512, 7541
513, 7792
514, 7708
515, 7500
516, 7583
517, 7375
518, 7625
519, 7625
520, 7584
521, 76875
522, 7583
523, 7792
524, 65625
525, 7625
526, 7250
527, 117583
528, 77542
529, 11542
530, 14625
531, 9083
532, 8041
533, 8291
534, 7500
535, 7625
536, 7333
537, 7500
538, 7958
539, 7750
540, 7583
541, 7542
542, 7417
543, 7375
544, 7458
545, 7291
546, 7375
547, 7458
548, 7584
549, 7583
550, 7500
