index, time in ns
1, 4727750
2, 324875
3, 263917
4, 279084
5, 273542
6, 271875
7, 265916
8, 273709
9, 275416
10, 272458
11, 267125
12, 279250
13, 274042
14, 272500
15, 273291
16, 269042
17, 266208
18, 265333
19, 264041
20, 263041
21, 265084
22, 260792
23, 275541
24, 266833
25, 273250
26, 261792
27, 269459
28, 262875
29, 271000
30, 264625
31, 262000
32, 261083
33, 264834
34, 262708
35, 262167
36, 263292
37, 263333
38, 263000
39, 261583
40, 263833
41, 262375
42, 262000
43, 262375
44, 261583
45, 278000
46, 266709
47, 265250
48, 266875
49, 277542
50, 410375
51, 274750
52, 265334
53, 263375
54, 262917
55, 261167
56, 265292
57, 261417
58, 262958
59, 260375
60, 286583
61, 276750
62, 284917
63, 494209
64, 613833
65, 296625
66, 226667
67, 222750
68, 227542
69, 224791
70, 224875
71, 223334
72, 223250
73, 222625
74, 225166
75, 222209
76, 224917
77, 222833
78, 226250
79, 226375
80, 224167
81, 225167
82, 223583
83, 223459
84, 227792
85, 227458
86, 226250
87, 224958
88, 223375
89, 223500
90, 224125
91, 225708
92, 223708
93, 222125
94, 222875
95, 223500
96, 223708
97, 222042
98, 224000
99, 224166
100, 230750
101, 241709
102, 452459
103, 262542
104, 237166
105, 238958
106, 223833
107, 216042
108, 220583
109, 233375
110, 220291
111, 217542
112, 217667
113, 219417
114, 248791
115, 226958
116, 220375
117, 220208
118, 215541
119, 218834
120, 207958
121, 214791
122, 222125
123, 221667
124, 225250
125, 217750
126, 286084
127, 223709
128, 223083
129, 221875
130, 223458
131, 216167
132, 225250
133, 214292
134, 215542
135, 216084
136, 213542
137, 217416
138, 237083
139, 214375
140, 214833
141, 214750
142, 213333
143, 225834
144, 218417
145, 215209
146, 216250
147, 215083
148, 220542
149, 258334
150, 218916
151, 213042
152, 218000
153, 215708
154, 215584
155, 213666
156, 221833
157, 220583
158, 216041
159, 213875
160, 214834
161, 229250
162, 215000
163, 215458
164, 279250
165, 440333
166, 255083
167, 228625
168, 214666
169, 214208
170, 215917
171, 215708
172, 224958
173, 214042
174, 216250
175, 214625
176, 215583
177, 225333
178, 214041
179, 217833
180, 215375
181, 222042
182, 214708
183, 215875
184, 223833
185, 215917
186, 213459
187, 214500
188, 218458
189, 217209
190, 217625
191, 226583
192, 217667
193, 246750
194, 225125
195, 215042
196, 208000
197, 212708
198, 209083
199, 208916
200, 213916
201, 207958
202, 209417
203, 208625
204, 209375
205, 220209
206, 217834
207, 226875
208, 208208
209, 220417
210, 213834
211, 209458
212, 217083
213, 216917
214, 215000
215, 219250
216, 218167
217, 215125
218, 215917
219, 215917
220, 219625
221, 215500
222, 214625
223, 222708
224, 217500
225, 217084
226, 215625
227, 216917
228, 223042
229, 221958
230, 219916
231, 219667
232, 218541
233, 214875
234, 216250
235, 215083
236, 214458
237, 223000
238, 223709
239, 213792
240, 215917
241, 229250
242, 398292
243, 235875
244, 215500
245, 226334
246, 579834
247, 278583
248, 110833
249, 89792
250, 89333
251, 89541
252, 90875
253, 88917
254, 89834
255, 89083
256, 119500
257, 228916
258, 130916
259, 89625
260, 90459
261, 91042
262, 89000
263, 89667
264, 88792
265, 87958
266, 89167
267, 87625
268, 88292
269, 88917
270, 89250
271, 88917
272, 87583
273, 88541
274, 89458
275, 88708
276, 89125
277, 90000
278, 88792
279, 89375
280, 88791
281, 89292
282, 88958
283, 204958
284, 178917
285, 89084
286, 88916
287, 88375
288, 89042
289, 88250
290, 89292
291, 128208
292, 87958
293, 88000
294, 89625
295, 120041
296, 89292
297, 99750
298, 85875
299, 124542
300, 88292
301, 96916
302, 88042
303, 95291
304, 89459
305, 91167
306, 96833
307, 119417
308, 88667
309, 89292
310, 89834
311, 89625
312, 95958
313, 89917
314, 87958
315, 105917
316, 89167
317, 93417
318, 90291
319, 195166
320, 375208
321, 186625
322, 89542
323, 90250
324, 143959
325, 88250
326, 88417
327, 92292
328, 95375
329, 90625
330, 111750
331, 89000
332, 130000
333, 88209
334, 87917
335, 89375
336, 88500
337, 87709
338, 90625
339, 88000
340, 122542
341, 88917
342, 88542
343, 89208
344, 89042
345, 99458
346, 89542
347, 89584
348, 116333
349, 87583
350, 88583
351, 88041
352, 89292
353, 90792
354, 89833
355, 88875
356, 108875
357, 88875
358, 89625
359, 101958
360, 110541
361, 679250
362, 156000
363, 112375
364, 83666
365, 84000
366, 83542
367, 84500
368, 82708
369, 83584
370, 83708
371, 84834
372, 84041
373, 90167
374, 84917
375, 82667
376, 83458
377, 84291
378, 84084
379, 84125
380, 84375
381, 83875
382, 83166
383, 83541
384, 144833
385, 373541
386, 260792
387, 146583
388, 83041
389, 83541
390, 84041
391, 83250
392, 87792
393, 84042
394, 85291
395, 108667
396, 84791
397, 83416
398, 81917
399, 82792
400, 82625
401, 82709
402, 81916
403, 81625
404, 83000
405, 81500
