index, time in ns
1, 3444250
2, 384209
3, 216667
4, 222750
5, 214583
6, 570583
7, 288667
8, 276625
9, 145042
10, 139375
11, 148375
12, 250083
13, 237583
14, 235708
15, 134584
16, 135166
17, 137875
18, 134042
19, 131042
20, 133417
21, 134334
22, 132791
23, 132791
24, 135791
25, 142250
26, 133292
27, 136875
28, 134708
29, 134209
30, 138375
31, 134375
32, 133250
33, 133875
34, 131833
35, 131417
36, 132625
37, 135709
38, 139209
39, 135583
40, 131125
41, 135667
42, 132708
43, 131000
44, 136625
45, 133583
46, 136583
47, 132875
48, 134541
49, 139209
50, 289584
51, 145334
52, 132250
53, 131208
54, 134250
55, 135209
56, 132667
57, 131916
58, 130917
59, 133208
60, 148709
61, 133167
62, 158292
63, 376000
64, 420709
65, 178083
66, 105958
67, 106167
68, 106666
69, 104791
70, 110167
71, 105459
72, 107500
73, 105583
74, 107541
75, 104000
76, 103458
77, 104125
78, 105125
79, 103250
80, 108542
81, 105500
82, 104292
83, 107208
84, 109375
85, 108791
86, 105583
87, 108333
88, 105916
89, 106708
90, 108667
91, 109375
92, 107625
93, 106458
94, 108833
95, 108916
96, 106208
97, 108375
98, 109667
99, 109541
100, 104708
101, 206334
102, 349084
103, 128250
104, 92708
105, 98542
106, 92875
107, 93917
108, 94792
109, 95583
110, 96583
111, 95875
112, 92333
113, 95792
114, 92709
115, 92291
116, 97667
117, 92375
118, 95333
119, 105417
120, 85792
121, 88333
122, 89750
123, 88834
124, 92709
125, 89583
126, 88375
127, 122000
128, 96708
129, 87375
130, 86042
131, 89333
132, 88167
133, 89750
134, 98042
135, 88500
136, 90500
137, 88167
138, 93084
139, 90459
140, 87750
141, 88500
142, 91167
143, 93750
144, 90292
145, 90334
146, 94959
147, 92750
148, 91125
149, 92208
150, 91750
151, 90250
152, 92959
153, 91916
154, 91500
155, 93166
156, 91041
157, 89166
158, 91708
159, 92167
160, 92500
161, 95125
162, 91375
163, 92542
164, 91375
165, 90958
166, 90458
167, 90666
168, 91541
169, 90542
170, 89167
171, 94542
172, 92416
173, 93709
174, 90000
175, 92500
176, 94709
177, 91083
178, 90917
179, 92625
180, 91959
181, 91334
182, 91666
183, 90375
184, 93750
185, 93208
186, 90833
187, 90542
188, 90584
189, 93917
190, 92000
191, 93291
192, 94167
193, 92833
194, 90541
195, 92416
196, 93750
197, 94125
198, 92583
199, 89917
200, 91041
201, 92083
202, 90500
203, 93417
204, 90667
205, 95291
206, 93500
207, 89042
208, 92084
209, 90625
210, 90209
211, 91583
212, 91625
213, 91000
214, 93375
215, 92542
216, 109541
217, 93125
218, 92125
219, 94458
220, 91750
221, 93083
222, 92000
223, 94250
224, 95417
225, 92708
226, 93958
227, 90958
228, 93042
229, 94833
230, 91709
231, 91875
232, 93125
233, 93084
234, 95625
235, 91542
236, 92709
237, 92000
238, 92458
239, 92167
240, 91458
241, 98583
242, 252542
243, 104791
244, 93375
245, 90125
246, 90708
247, 90459
248, 90583
249, 97167
250, 95333
251, 89542
252, 91958
253, 90459
254, 90417
255, 92625
256, 179250
257, 451708
258, 206750
259, 92708
260, 90417
261, 91792
262, 93125
263, 92000
264, 100125
265, 93334
266, 92375
267, 89209
268, 90834
269, 93042
270, 90791
271, 91375
272, 90042
273, 91917
274, 93333
275, 92333
276, 90083
277, 91208
278, 94292
279, 95791
280, 91416
281, 91208
282, 90584
283, 90541
284, 89000
285, 89791
286, 90458
287, 92083
288, 89667
289, 90833
290, 89708
291, 90667
292, 92667
293, 91958
294, 91750
295, 105541
296, 91292
297, 90125
298, 94583
299, 91750
300, 93125
301, 92000
302, 87833
303, 91834
304, 90625
305, 93167
306, 97750
307, 93959
308, 93083
309, 89417
310, 90958
311, 91709
312, 90416
313, 91084
314, 91458
315, 92584
316, 91042
317, 97000
318, 96208
319, 180833
320, 483917
321, 151000
322, 89667
323, 87917
324, 179750
325, 171292
326, 90833
327, 90541
328, 90625
329, 90542
330, 91167
331, 90459
332, 127208
333, 91583
334, 93250
335, 89834
336, 92667
337, 91584
338, 93083
339, 92708
340, 120541
341, 88000
342, 90292
343, 87875
344, 91750
345, 90333
346, 91916
347, 90666
348, 119041
349, 92375
350, 90833
351, 89209
352, 90334
353, 91625
354, 91750
355, 86208
356, 106292
357, 88709
358, 88667
359, 94834
360, 115583
361, 110291
362, 90666
363, 87292
364, 93041
365, 132542
366, 92167
367, 91167
368, 89917
369, 90292
370, 90458
371, 90542
372, 90458
373, 141041
374, 91375
375, 90958
376, 90917
377, 90000
378, 90666
379, 90333
380, 91834
381, 119625
382, 91125
383, 96208
384, 212458
385, 108125
386, 92167
387, 88958
388, 91292
389, 123958
390, 90208
391, 91375
392, 92417
393, 92875
394, 87458
395, 90667
396, 92125
397, 110542
398, 91041
399, 653959
400, 179542
401, 99000
402, 98292
403, 96958
404, 96125
405, 96917
406, 96333
407, 95459
408, 96958
409, 96708
410, 97958
411, 97125
412, 94583
413, 97167
414, 93208
415, 97834
416, 92875
417, 92958
418, 97583
419, 96292
420, 97416
421, 95750
422, 96833
423, 96042
424, 96666
425, 95750
426, 94875
427, 97583
428, 95708
429, 165000
430, 135708
431, 94875
432, 94500
433, 99917
434, 96375
435, 98292
436, 94500
437, 94333
438, 96583
439, 94750
440, 97625
441, 96917
442, 94209
443, 97875
444, 96000
445, 97958
446, 127042
447, 92875
448, 95667
449, 95833
450, 91917
451, 93709
452, 97209
453, 95042
454, 99667
455, 97083
456, 93417
457, 93166
458, 97917
459, 97292
460, 98500
461, 94084
462, 492333
463, 555208
464, 167791
465, 95250
466, 94292
467, 91333
468, 94166
469, 96917
470, 94709
471, 92333
472, 93958
473, 92750
474, 90916
475, 97708
476, 176792
477, 99125
478, 95459
479, 94792
480, 94292
481, 92750
482, 91166
483, 92542
484, 94125
485, 91167
486, 96291
487, 98167
488, 91334
489, 95542
490, 96084
491, 96917
492, 91333
493, 96416
494, 93916
495, 94209
496, 94459
497, 92875
498, 93458
499, 89666
500, 93542
501, 96208
502, 91792
503, 91333
504, 92417
505, 91500
506, 95000
507, 94000
508, 92041
509, 93333
510, 92208
511, 93625
512, 96084
513, 101084
514, 97833
515, 92792
516, 91292
517, 87209
518, 87583
519, 89166
520, 91417
521, 91250
522, 90125
523, 90708
524, 93417
525, 91959
526, 89125
527, 88625
528, 88709
529, 90041
530, 92333
531, 87333
532, 89916
533, 90833
534, 88709
535, 90583
536, 92166
537, 89208
538, 87166
539, 90083
540, 91000
541, 100167
542, 90000
543, 85542
544, 90708
545, 92625
546, 88750
547, 90750
548, 85125
549, 91208
550, 91625
551, 89083
552, 93708
553, 91375
554, 89333
555, 94042
556, 89875
557, 86541
558, 91583
559, 88167
560, 91125
561, 89875
562, 91125
563, 91375
564, 89958
565, 89834
566, 89292
567, 91791
568, 87250
569, 90333
570, 88875
571, 89500
572, 90041
573, 87125
574, 90083
575, 88459
576, 90708
577, 92000
578, 91458
579, 88917
580, 91292
581, 90750
582, 87375
583, 91209
584, 90166
585, 89959
586, 94334
587, 88500
588, 90291
589, 90917
590, 91042
591, 93583
592, 88709
593, 89042
594, 86750
595, 96625
596, 92334
597, 87583
598, 92000
599, 93625
600, 93416
601, 92000
602, 92875
603, 93333
604, 93834
605, 92500
606, 93125
607, 91542
608, 118916
609, 88167
610, 94584
611, 94208
612, 93666
613, 91292
614, 93083
615, 94208
616, 96375
617, 92584
618, 90625
619, 91083
620, 92417
621, 96583
622, 92542
623, 89125
624, 90458
625, 89834
626, 88416
627, 91292
628, 88416
629, 91250
630, 94583
631, 91334
632, 91792
633, 88375
634, 90750
635, 90625
636, 91375
637, 90042
638, 90000
639, 91500
640, 92791
641, 174333
642, 90625
643, 91791
644, 91750
645, 92500
646, 87542
647, 92167
648, 85416
649, 88916
650, 91333
651, 93667
652, 89000
653, 90459
654, 91041
655, 89333
656, 91250
657, 89666
658, 90708
659, 90917
660, 91750
661, 94875
662, 90584
663, 92333
664, 89125
665, 91250
666, 91875
667, 87375
668, 90625
669, 93041
670, 91417
671, 91000
672, 90542
673, 88000
674, 89958
675, 90375
676, 87083
677, 90542
678, 94209
679, 92625
680, 93792
681, 93000
682, 93333
683, 95334
684, 94375
685, 90334
686, 98291
687, 90333
688, 91667
689, 97833
690, 92917
691, 95333
692, 93375
693, 93500
694, 94333
695, 92000
696, 94750
697, 94125
698, 93375
699, 93834
700, 89250
701, 95459
702, 93500
703, 89375
704, 89791
705, 91875
706, 93417
707, 93958
708, 94750
709, 97625
710, 90041
711, 93959
712, 91584
713, 94542
714, 93750
715, 91500
716, 91584
717, 91042
718, 91541
719, 94417
720, 90500
721, 92125
722, 96292
723, 88250
724, 94667
725, 95083
726, 88875
727, 92167
728, 95916
729, 95250
730, 94750
731, 93750
732, 94709
733, 91875
734, 90833
735, 97042
736, 92000
737, 89083
738, 91083
739, 91916
740, 90333
741, 92458
742, 91542
743, 90167
744, 91250
745, 91542
746, 88125
747, 92542
748, 93792
749, 88709
750, 93708
751, 91667
752, 91917
753, 90250
754, 88792
755, 91875
756, 92250
757, 94542
758, 94333
759, 86750
760, 93500
761, 92875
762, 92375
763, 90917
764, 87458
765, 91209
766, 90041
767, 90167
768, 89583
769, 91750
770, 91250
771, 91334
772, 91417
773, 91500
774, 92125
775, 93125
776, 86958
777, 89750
778, 91375
779, 91291
780, 90000
781, 90500
782, 89667
783, 89709
784, 92500
785, 92542
786, 89917
787, 93250
788, 96750
789, 87958
790, 91459
791, 88459
792, 92083
793, 92542
794, 89042
795, 88750
796, 91542
797, 91375
798, 89542
799, 90958
800, 89208
801, 92333
802, 92000
803, 90500
804, 87833
805, 89625
806, 91542
807, 92667
808, 88250
809, 87000
810, 92750
811, 88250
812, 91292
813, 88708
814, 88750
815, 91167
816, 90125
817, 90000
818, 93583
819, 94084
820, 88959
821, 90708
822, 89916
823, 92375
824, 91708
825, 90375
826, 94583
827, 94250
828, 91541
829, 88042
830, 91583
831, 89084
832, 92792
833, 90875
834, 90500
835, 88000
836, 94791
837, 92750
838, 94875
839, 94042
840, 92166
841, 89625
842, 93750
843, 532792
844, 89459
845, 93625
846, 91375
847, 93167
848, 89792
849, 89750
850, 95917
851, 93292
852, 94667
853, 90792
854, 93208
855, 85708
856, 92417
857, 92834
858, 90417
859, 106250
860, 88834
861, 90291
862, 90500
863, 89500
864, 90708
865, 88125
866, 91250
867, 87208
868, 93209
869, 89500
870, 90000
871, 92208
872, 90750
873, 91500
874, 87375
875, 91583
876, 89250
877, 86875
878, 95208
879, 91750
880, 89833
881, 91292
882, 87834
883, 88667
884, 90584
885, 91250
886, 90875
887, 91041
888, 90333
889, 92292
890, 91291
891, 91958
892, 90459
893, 91375
894, 90084
895, 93041
896, 88709
897, 92542
898, 93375
899, 95417
900, 89875
901, 93250
902, 94708
903, 91875
904, 92209
905, 93916
906, 90375
907, 94000
908, 89125
909, 97125
910, 94667
911, 93209
912, 91750
913, 92584
914, 90791
915, 93917
916, 91375
917, 90833
918, 92958
919, 94500
920, 92416
921, 96333
922, 92042
923, 93042
924, 93875
925, 92708
926, 91750
927, 95250
928, 93125
929, 93250
930, 94792
931, 94459
932, 93125
933, 92875
934, 92959
935, 94333
936, 91417
937, 93125
938, 94250
939, 92834
940, 92250
941, 94500
942, 93625
943, 94042
944, 90750
945, 88541
946, 93542
947, 94250
948, 91583
949, 92541
950, 97584
951, 91833
952, 88250
953, 92708
954, 92250
955, 92417
956, 93750
957, 90500
958, 92625
959, 89292
960, 97458
961, 93417
962, 93584
963, 92959
964, 92375
965, 91541
966, 91541
967, 91916
968, 93167
969, 92458
970, 94917
971, 94709
972, 90125
973, 90208
974, 94708
975, 91209
976, 87500
977, 90417
978, 93583
979, 94833
980, 93417
981, 92083
982, 93417
983, 91708
984, 92750
985, 94167
986, 91500
987, 91875
988, 91875
989, 93041
990, 93375
991, 94084
992, 90375
993, 93125
994, 94000
995, 93833
996, 92000
997, 93917
998, 91208
999, 93417
1000, 123458
1001, 92916
1002, 90541
1003, 91417
1004, 94083
1005, 93458
1006, 95250
1007, 96667
1008, 95000
1009, 95167
1010, 92375
1011, 94792
1012, 93208
1013, 97250
1014, 88500
1015, 90041
1016, 90875
1017, 91083
1018, 88208
1019, 86917
1020, 90083
1021, 95000
1022, 91916
1023, 92083
1024, 91042
1025, 88750
1026, 92208
1027, 92000
1028, 92667
1029, 88500
1030, 86625
1031, 92500
1032, 91125
1033, 90500
1034, 89083
1035, 87375
1036, 91958
1037, 92458
1038, 89291
1039, 86375
1040, 86041
1041, 94125
1042, 89334
1043, 90916
1044, 88667
1045, 87041
1046, 92250
1047, 91875
1048, 89250
1049, 89125
1050, 91375
1051, 90875
1052, 95042
1053, 91000
1054, 89750
1055, 88208
1056, 91042
1057, 91208
1058, 86750
1059, 89334
1060, 91083
1061, 91834
1062, 93584
1063, 91333
1064, 89000
1065, 91375
1066, 91917
1067, 91125
1068, 91667
1069, 87917
1070, 91833
1071, 87500
1072, 91959
1073, 92292
1074, 88209
1075, 88250
1076, 90958
1077, 90000
1078, 95708
1079, 90125
1080, 87708
1081, 89417
1082, 90625
1083, 94125
1084, 85000
1085, 91334
1086, 92416
1087, 91500
1088, 90458
1089, 89000
1090, 90834
1091, 89667
1092, 91625
1093, 88833
1094, 92250
1095, 92250
1096, 91166
1097, 87833
1098, 93000
1099, 87667
1100, 90667
1101, 89583
1102, 89750
1103, 90667
1104, 91333
1105, 92208
1106, 91834
1107, 91917
1108, 91458
1109, 90292
1110, 87542
1111, 91625
1112, 91250
1113, 89000
1114, 89041
1115, 93875
1116, 99084
1117, 85333
1118, 93917
1119, 89500
1120, 89833
1121, 91291
1122, 90958
1123, 90000
1124, 87208
1125, 88917
1126, 89250
1127, 89917
1128, 91042
1129, 90583
1130, 90625
1131, 89084
1132, 90125
1133, 91750
1134, 90000
1135, 91583
1136, 92541
1137, 90292
1138, 87958
1139, 88583
1140, 91541
1141, 87666
1142, 91458
1143, 91917
1144, 90292
1145, 89334
1146, 90916
1147, 88750
1148, 92042
1149, 90750
1150, 92541
1151, 89459
1152, 88959
1153, 88000
1154, 89709
1155, 90542
1156, 88833
1157, 98459
1158, 94417
1159, 91958
1160, 92083
1161, 93833
1162, 101292
1163, 94209
1164, 90625
1165, 93000
1166, 92959
1167, 88792
1168, 94292
1169, 90166
1170, 93084
1171, 91917
1172, 91292
1173, 89500
1174, 92042
1175, 92666
1176, 91792
1177, 93667
1178, 94459
1179, 92209
1180, 93416
1181, 90458
1182, 92875
1183, 93583
1184, 89208
1185, 95333
1186, 90333
1187, 96875
1188, 94250
1189, 91250
1190, 93625
1191, 90875
1192, 93708
1193, 90167
1194, 90042
1195, 90583
1196, 92375
1197, 91542
1198, 95417
1199, 92667
1200, 94625
1201, 93541
1202, 91666
1203, 93833
1204, 92791
1205, 91042
1206, 91583
1207, 92250
1208, 94542
1209, 95333
1210, 91375
1211, 93750
1212, 94916
1213, 94959
1214, 92959
1215, 92792
1216, 91000
1217, 91834
1218, 95209
1219, 91500
1220, 92792
1221, 88333
1222, 94291
1223, 90542
1224, 90917
1225, 93000
1226, 91209
1227, 90958
1228, 91291
1229, 89750
1230, 89750
1231, 89459
1232, 90792
1233, 92291
1234, 89000
1235, 104041
1236, 93041
1237, 89541
1238, 91541
1239, 86667
1240, 89167
1241, 90875
1242, 87958
1243, 85625
1244, 88834
1245, 90750
1246, 87834
1247, 91917
1248, 86708
1249, 90833
1250, 90833
1251, 91750
1252, 93250
1253, 87917
1254, 89375
1255, 91833
1256, 91917
1257, 90583
1258, 92958
1259, 85959
1260, 90417
1261, 87667
1262, 91042
1263, 97125
1264, 96458
1265, 93042
1266, 91792
1267, 96000
1268, 95041
1269, 97959
1270, 94958
1271, 100125
1272, 99542
1273, 93750
1274, 98417
1275, 88083
1276, 93625
1277, 92792
1278, 91458
1279, 95417
1280, 94709
1281, 95458
1282, 97959
1283, 94584
1284, 94750
1285, 98750
1286, 97666
1287, 96917
1288, 95625
1289, 96416
1290, 93000
1291, 94542
1292, 90500
1293, 95834
1294, 98875
1295, 96458
1296, 97542
1297, 92042
1298, 97041
1299, 97292
1300, 96375
1301, 97917
1302, 95542
1303, 96375
1304, 97333
1305, 93708
1306, 96583
1307, 90417
1308, 91000
1309, 88125
1310, 92083
1311, 91334
1312, 89208
1313, 92958
1314, 94292
1315, 87875
1316, 91875
1317, 89792
1318, 88500
1319, 89958
1320, 90583
1321, 91083
1322, 90208
1323, 93834
1324, 94375
1325, 92917
1326, 90958
1327, 95542
1328, 92708
1329, 88084
1330, 90916
1331, 89375
1332, 87334
1333, 93209
1334, 90334
1335, 94250
1336, 91583
1337, 89792
1338, 90834
1339, 88708
1340, 90875
1341, 89625
1342, 88709
1343, 91583
1344, 86625
1345, 86708
1346, 91333
1347, 98750
1348, 91416
1349, 91500
1350, 92583
1351, 86000
1352, 90250
1353, 93417
1354, 93000
1355, 92084
1356, 87083
1357, 91541
1358, 90833
1359, 88750
1360, 90125
1361, 93416
1362, 107667
1363, 105458
1364, 93000
1365, 92167
1366, 97250
1367, 95833
1368, 95417
1369, 93458
1370, 88542
1371, 91709
1372, 91000
1373, 94375
1374, 95208
1375, 95834
1376, 94750
1377, 90209
1378, 91875
1379, 92167
1380, 90333
1381, 86708
1382, 90500
1383, 89917
1384, 90625
1385, 91292
1386, 91416
1387, 92208
1388, 91667
1389, 88833
1390, 92166
1391, 90958
1392, 118667
1393, 93792
1394, 93750
1395, 96791
1396, 91375
1397, 90958
1398, 91417
1399, 89709
1400, 92083
1401, 90084
1402, 92083
1403, 99042
1404, 89042
1405, 90375
1406, 85167
1407, 90875
1408, 91833
1409, 85625
1410, 90750
1411, 93750
1412, 90750
1413, 89250
1414, 90708
1415, 90625
1416, 93584
1417, 90584
1418, 89208
1419, 92125
1420, 91833
1421, 90041
1422, 92042
1423, 87208
1424, 86125
1425, 91791
1426, 90250
1427, 91708
1428, 90209
1429, 90375
1430, 91416
1431, 89083
1432, 90791
1433, 93416
1434, 89542
1435, 86334
1436, 98917
1437, 94542
1438, 94791
1439, 93083
1440, 101500
1441, 92959
1442, 94000
1443, 94500
1444, 95250
1445, 94250
1446, 88542
1447, 91458
1448, 88375
1449, 91666
1450, 90667
1451, 94791
1452, 89333
1453, 90667
1454, 89791
1455, 91333
1456, 91417
1457, 88625
1458, 90250
1459, 91542
1460, 90458
1461, 90500
1462, 90750
1463, 91208
1464, 104625
1465, 92459
1466, 88667
1467, 89916
1468, 91458
1469, 90417
1470, 96750
1471, 84125
1472, 89792
1473, 87333
1474, 90334
1475, 94000
1476, 97667
1477, 96375
1478, 88667
1479, 90916
1480, 92667
1481, 91417
1482, 89792
1483, 85500
1484, 93666
1485, 95291
1486, 88875
1487, 92458
1488, 90083
1489, 96458
1490, 92416
1491, 91333
1492, 87375
1493, 89834
1494, 91542
1495, 96083
1496, 91083
1497, 90166
1498, 89417
1499, 91084
1500, 87958
1501, 88417
1502, 90625
1503, 84916
1504, 87958
1505, 88875
1506, 94625
1507, 90708
1508, 91834
1509, 91083
1510, 90625
1511, 89208
1512, 88542
1513, 89625
1514, 90584
1515, 89958
1516, 88083
1517, 88584
1518, 92917
1519, 89292
1520, 90583
1521, 93959
1522, 93334
1523, 95375
1524, 91250
1525, 91000
1526, 88542
1527, 96875
1528, 91709
1529, 88208
1530, 86458
1531, 91500
1532, 91708
1533, 98416
1534, 91208
1535, 88083
1536, 91125
1537, 93250
1538, 93958
1539, 94875
1540, 91958
1541, 90625
1542, 90250
1543, 91791
1544, 89917
1545, 87792
1546, 90334
1547, 91459
1548, 87834
1549, 122584
1550, 89875
1551, 91333
1552, 89167
1553, 88084
1554, 89500
1555, 89709
1556, 91708
1557, 87917
1558, 88458
1559, 90584
1560, 91334
1561, 88167
1562, 89750
1563, 88833
1564, 95917
1565, 96833
1566, 90375
1567, 93791
1568, 93084
1569, 92833
1570, 85458
1571, 89667
1572, 93500
1573, 88208
1574, 87708
1575, 89292
1576, 93333
1577, 91208
1578, 92584
1579, 85791
1580, 89125
1581, 87750
1582, 91500
1583, 92042
1584, 89042
1585, 91083
1586, 91584
1587, 92125
1588, 89334
1589, 93292
1590, 91875
1591, 92583
1592, 89166
1593, 87083
1594, 89125
1595, 91375
1596, 88583
1597, 92417
1598, 87000
1599, 86166
1600, 91042
1601, 88834
1602, 91083
1603, 90458
1604, 91792
1605, 91542
1606, 94250
1607, 89333
1608, 97541
1609, 91083
1610, 100000
1611, 95041
1612, 106875
1613, 92375
1614, 89791
1615, 88791
1616, 90125
1617, 89250
1618, 91084
1619, 91667
1620, 91208
1621, 89792
1622, 91833
1623, 89667
1624, 88959
1625, 91667
1626, 91459
1627, 90042
1628, 90083
1629, 91042
1630, 87958
1631, 90791
1632, 89958
1633, 92792
1634, 91375
1635, 88667
1636, 90875
1637, 87250
1638, 91292
1639, 90917
1640, 91417
1641, 87708
1642, 88625
1643, 85916
1644, 92167
1645, 90250
1646, 90459
1647, 92416
1648, 90333
1649, 91459
1650, 91500
1651, 92375
1652, 89000
1653, 91334
1654, 92416
1655, 92250
1656, 89333
1657, 91541
1658, 88833
1659, 92042
1660, 90708
1661, 90583
1662, 89500
1663, 91334
1664, 112791
1665, 94333
1666, 91250
1667, 91584
1668, 90167
1669, 90917
1670, 92292
1671, 89958
1672, 89625
1673, 91000
1674, 88334
1675, 90084
1676, 91917
1677, 87541
1678, 91125
1679, 88583
1680, 90750
1681, 91500
1682, 95000
1683, 91375
1684, 85166
1685, 86958
1686, 89334
1687, 89500
1688, 88083
1689, 88750
1690, 90791
1691, 90791
1692, 90500
1693, 91042
1694, 91875
1695, 103958
1696, 97959
1697, 95417
1698, 94750
1699, 100458
1700, 89333
1701, 98541
1702, 95625
1703, 94167
1704, 89333
1705, 91250
1706, 95625
1707, 90417
1708, 89917
1709, 92541
1710, 105541
1711, 90792
1712, 94125
1713, 89875
1714, 91291
1715, 90000
1716, 89125
1717, 89334
1718, 88125
1719, 90125
1720, 90750
1721, 89959
1722, 88250
1723, 91667
