index, time in ns
1, 9724250
2, 1227709
3, 502000
4, 532375
5, 514041
6, 531166
7, 492625
8, 469791
9, 458292
10, 484958
11, 452333
12, 453250
13, 454208
14, 449917
15, 453292
16, 455083
17, 452917
18, 480333
19, 473917
20, 478958
21, 514958
22, 466208
23, 499917
24, 459708
25, 475542
26, 526833
27, 470042
28, 473834
29, 479666
30, 469291
31, 1016833
32, 455167
33, 442167
34, 464333
35, 452708
36, 2634208
37, 480250
38, 461667
39, 472250
40, 472375
41, 470042
42, 509500
43, 474500
44, 484916
45, 506833
46, 513625
47, 489167
48, 483833
49, 473375
50, 567417
51, 480209
52, 476083
53, 469083
54, 471458
55, 456000
56, 470416
57, 487458
58, 494041
59, 487292
60, 468500
61, 2291417
62, 172250
63, 181334
64, 167208
65, 167208
66, 168250
67, 174375
68, 171917
69, 166875
70, 186958
71, 288792
72, 166416
73, 164666
74, 164166
75, 162667
76, 166583
77, 193875
78, 165542
79, 167458
80, 161167
81, 171375
82, 165125
83, 172375
84, 177250
85, 167958
86, 175500
87, 330583
88, 167333
89, 163583
90, 173250
91, 185416
92, 186000
93, 183666
94, 178375
95, 184083
96, 166583
97, 200334
98, 205417
99, 283208
100, 201667
101, 208542
102, 214083
103, 211958
104, 211167
105, 211042
106, 209542
107, 218875
108, 219833
109, 215584
110, 218208
111, 211292
112, 214375
113, 211958
114, 210083
115, 210666
116, 207708
117, 218542
118, 240500
119, 211459
120, 209083
121, 210583
122, 208125
123, 212833
124, 213625
125, 209250
126, 203875
127, 206000
128, 202625
129, 203334
130, 202959
131, 200125
132, 199833
133, 200709
134, 318458
135, 226875
136, 207500
137, 215375
138, 206709
139, 210459
140, 207167
141, 206500
142, 204667
143, 206041
144, 208292
145, 207916
146, 205875
147, 209708
148, 210292
149, 205417
150, 246709
151, 206958
152, 203459
153, 205125
154, 206083
155, 203209
156, 206208
157, 223291
158, 213750
159, 221375
160, 207458
161, 205667
162, 205875
163, 206500
164, 204500
165, 204083
166, 204250
167, 208125
168, 207667
169, 205459
170, 226333
171, 209459
172, 203541
173, 205458
174, 204709
175, 217250
176, 214208
177, 220000
178, 206750
179, 208917
180, 206084
181, 207208
182, 210375
183, 204625
184, 206542
185, 207333
186, 210834
187, 204166
188, 207458
189, 231833
190, 206792
191, 201375
192, 212709
193, 217250
194, 207167
195, 224250
196, 2604750
197, 237416
198, 168792
199, 183750
200, 180875
201, 183250
202, 185250
203, 166291
204, 167542
205, 160000
206, 174083
207, 162250
208, 164875
209, 161958
210, 163125
211, 166125
212, 162625
213, 167125
214, 166000
215, 160750
216, 175708
217, 167208
218, 165458
219, 164833
220, 161583
221, 168000
222, 165042
223, 164084
224, 165458
225, 166000
226, 166625
227, 164042
228, 161667
229, 162750
230, 160041
231, 171334
232, 161333
233, 159459
234, 164333
235, 162791
236, 166083
237, 164750
238, 158708
239, 161541
240, 161542
241, 166291
242, 164166
243, 161375
244, 160708
245, 224750
246, 203583
247, 171375
248, 186334
249, 170959
250, 167958
251, 168250
252, 169084
253, 168958
254, 164292
255, 165583
256, 187375
257, 185208
258, 260500
259, 181000
260, 167541
261, 168291
262, 167708
263, 171584
264, 166667
265, 165459
266, 174166
267, 175667
268, 165666
269, 166916
270, 165917
271, 166917
272, 168458
273, 165541
274, 170458
275, 170458
276, 171166
277, 167417
278, 166792
279, 165750
280, 166208
281, 168000
282, 171875
283, 166041
284, 169667
285, 163666
286, 171458
287, 167166
288, 165875
289, 170083
290, 183709
291, 170375
292, 170250
293, 165292
294, 165291
295, 165709
296, 174459
297, 171541
298, 169792
299, 169000
300, 201792
301, 164834
302, 164833
303, 185000
304, 199375
305, 181792
306, 224041
307, 167125
308, 168334
309, 171083
310, 172792
311, 176667
312, 166667
313, 172292
314, 173916
315, 170042
316, 185833
317, 178250
318, 168750
319, 185000
320, 210333
321, 210750
322, 212916
323, 212333
324, 207958
325, 215791
326, 165792
327, 177958
328, 186750
329, 185583
330, 191792
331, 186125
332, 193375
333, 165500
334, 170292
335, 171041
336, 169542
337, 167125
338, 166833
339, 167584
340, 169709
341, 167167
342, 163917
343, 191834
344, 167875
345, 172000
346, 169708
347, 170125
348, 163584
349, 167875
350, 169416
351, 164833
352, 166708
353, 170125
354, 168625
355, 170084
356, 166500
357, 167459
358, 170166
359, 168375
360, 166667
361, 167333
362, 173875
363, 189167
364, 182375
365, 174084
366, 167500
367, 163083
368, 165000
369, 164167
370, 166333
371, 170125
372, 165583
373, 169541
374, 165458
375, 173667
