index, time in ns
1, 6302917
2, 2144375
3, 445459
4, 437458
5, 447458
6, 440417
7, 482875
8, 417792
9, 438291
10, 418875
11, 428083
12, 420833
13, 483792
14, 410334
15, 414750
16, 409167
17, 417083
18, 414833
19, 414916
20, 412000
21, 439667
22, 409708
23, 410416
24, 445334
25, 409708
26, 405750
27, 408583
28, 414000
29, 436084
30, 449542
31, 413791
32, 413916
33, 414458
34, 409583
35, 410125
36, 412917
37, 436292
38, 408542
39, 422083
40, 412959
41, 426542
42, 415625
43, 410250
44, 411416
45, 438250
46, 419500
47, 453125
48, 409750
49, 412417
50, 412541
51, 412542
52, 413709
53, 465084
54, 413083
55, 424291
56, 408958
57, 416292
58, 409667
59, 412083
60, 446125
61, 423417
62, 414916
63, 411000
64, 444166
65, 438834
66, 407833
67, 410208
68, 418750
69, 408917
70, 422583
71, 410084
72, 407833
73, 408792
74, 412792
75, 417167
76, 420791
77, 415959
78, 407083
79, 414791
80, 413958
81, 409125
82, 409708
83, 408334
84, 444042
85, 478125
86, 470000
87, 523708
88, 467125
89, 474833
90, 497292
91, 463917
92, 482584
93, 487084
94, 475792
95, 468209
96, 486667
97, 464833
98, 470959
99, 476084
100, 499875
101, 475000
102, 514208
103, 480250
104, 472833
105, 481792
106, 466333
107, 483666
108, 11896667
109, 447750
110, 412834
111, 410875
112, 455208
113, 440833
114, 407584
115, 408917
116, 449083
117, 410667
118, 409042
119, 412583
120, 414792
121, 407292
122, 411167
123, 421000
124, 434917
125, 413416
126, 443458
127, 409333
128, 415708
129, 406708
130, 409375
131, 408542
132, 428083
133, 406583
134, 412917
135, 410750
136, 411334
137, 405166
138, 405250
139, 425167
140, 457709
141, 412500
142, 407000
143, 410583
144, 414875
145, 413583
146, 407125
147, 411917
148, 427542
149, 418167
150, 406125
151, 408458
152, 414708
153, 408041
154, 413667
155, 410167
156, 464167
157, 419958
158, 416208
159, 404125
160, 407792
161, 410334
162, 408250
163, 406709
164, 441167
165, 408083
166, 411042
167, 410209
168, 409709
169, 410375
170, 408042
171, 418916
172, 427000
173, 410083
174, 412125
175, 410250
176, 410625
177, 407917
178, 410125
179, 416458
180, 434958
181, 410416
182, 408334
183, 418209
184, 414000
185, 409583
186, 428583
187, 411791
188, 437791
189, 412125
190, 409167
191, 432125
192, 416834
193, 413958
194, 405625
195, 410042
196, 436584
197, 420000
198, 421542
199, 413375
200, 410125
201, 412125
202, 418542
203, 405500
204, 435083
205, 416791
206, 414833
207, 415125
208, 409292
209, 411291
210, 427000
211, 411583
212, 498208
213, 431917
214, 431750
215, 441750
216, 429584
217, 437792
218, 430375
219, 440917
220, 445791
221, 436250
222, 441709
223, 444084
224, 452667
225, 430625
226, 442792
227, 451250
228, 443375
229, 429709
230, 410500
231, 417375
232, 426792
233, 406125
234, 411792
235, 431375
236, 485250
237, 471084
238, 469375
239, 543500
240, 471375
241, 461375
242, 458958
243, 1425167
244, 166125
245, 165083
246, 166667
247, 160500
248, 164417
249, 161916
250, 161375
251, 163625
252, 161584
253, 175166
254, 165333
255, 164292
256, 173709
257, 296792
258, 181417
259, 166166
260, 180208
261, 188958
262, 164333
263, 340541
264, 163250
265, 169791
266, 176875
267, 173750
268, 169541
269, 159667
270, 178625
271, 163583
272, 166583
273, 179458
274, 187000
275, 173125
276, 170750
277, 178334
278, 171000
279, 167250
280, 173750
281, 169833
282, 172750
283, 173625
284, 168000
285, 162833
286, 166333
287, 162834
288, 175375
289, 165166
290, 174042
291, 180417
292, 180042
293, 168375
294, 176500
295, 168292
296, 163667
297, 168917
298, 168625
299, 169084
300, 167000
301, 159500
302, 170083
303, 163375
304, 163750
305, 174541
306, 162958
307, 176334
308, 170917
309, 167959
310, 177667
311, 170291
312, 162250
313, 161500
314, 163083
315, 166042
316, 169500
317, 167125
318, 165875
319, 181625
320, 198375
321, 179541
322, 172709
323, 168833
324, 174625
325, 166333
326, 168583
327, 161583
328, 170625
329, 174583
330, 174791
331, 185792
332, 177792
333, 175542
334, 160583
335, 163208
336, 166542
337, 168500
338, 183084
339, 168500
340, 166583
341, 165208
342, 175458
343, 166292
344, 164208
345, 171875
346, 167083
347, 170500
348, 157833
349, 170959
350, 173250
351, 164083
352, 171083
353, 171209
354, 159166
355, 170541
356, 173250
357, 165916
358, 168041
359, 172917
360, 185958
361, 177042
362, 163792
363, 167750
364, 174083
365, 175041
366, 160750
367, 161084
368, 171834
369, 161292
370, 178708
371, 167875
372, 170458
373, 185084
374, 168667
375, 159334
376, 162875
377, 172125
378, 162000
379, 165750
380, 215500
381, 168375
382, 170167
383, 163542
384, 173916
385, 174375
386, 171292
387, 160125
388, 159292
389, 184500
390, 160125
391, 164250
392, 161625
393, 161834
394, 164667
395, 161708
396, 158834
397, 161583
398, 160500
399, 168458
400, 160875
401, 160125
402, 160541
403, 174542
404, 170417
405, 171958
406, 200500
407, 171708
408, 164584
409, 175125
410, 166042
411, 158125
412, 162833
413, 171584
414, 166625
415, 165833
416, 164333
417, 168250
418, 171958
419, 165667
420, 169000
421, 166250
422, 160625
423, 161542
424, 179125
425, 159959
426, 230792
427, 168417
428, 178084
429, 165292
430, 165083
431, 160541
432, 169125
433, 185084
434, 162042
435, 158541
436, 161292
437, 167417
438, 168083
439, 163500
440, 164500
441, 156958
442, 162041
443, 161125
444, 165917
445, 162459
446, 162125
447, 162291
448, 182708
449, 166208
450, 184708
451, 162708
452, 166542
453, 172166
454, 658542
455, 244458
456, 167000
457, 634833
458, 177292
459, 165708
460, 167083
461, 158375
462, 167000
463, 156000
464, 158417
465, 154625
466, 160000
467, 162208
468, 151917
469, 159875
470, 154667
471, 154167
472, 157583
473, 151333
474, 156708
475, 151917
476, 161042
477, 157125
478, 155416
479, 153084
480, 158792
481, 155000
482, 155292
483, 150541
484, 150042
485, 149541
486, 171083
487, 161333
488, 155375
489, 156542
490, 155542
491, 157167
492, 154625
493, 155625
494, 150542
495, 152750
496, 167250
497, 155583
498, 157625
499, 151708
500, 157875
501, 156250
502, 152125
503, 159375
504, 155916
505, 150542
506, 164125
507, 156083
508, 154041
509, 151500
510, 149791
511, 153791
512, 169334
513, 161584
514, 160834
515, 155417
516, 156375
517, 151958
518, 152291
519, 157167
520, 153958
521, 153125
522, 157875
523, 151250
524, 151750
525, 158375
526, 154375
527, 157375
528, 155375
529, 159500
530, 153333
531, 153333
532, 151375
533, 165375
534, 153333
535, 167250
536, 154250
537, 151000
538, 151291
539, 150292
540, 150250
541, 149917
542, 159125
