index, time in ns
1, 4499500
2, 2113000
3, 429125
4, 414084
5, 468042
6, 415541
7, 447875
8, 416958
9, 430875
10, 417750
11, 428500
12, 416208
13, 443125
14, 412417
15, 410708
16, 414750
17, 413917
18, 414334
19, 561791
20, 410542
21, 436208
22, 410333
23, 431916
24, 406042
25, 413625
26, 412208
27, 409125
28, 409958
29, 591542
30, 434375
31, 412709
32, 409875
33, 411417
34, 413917
35, 410250
36, 412166
37, 436375
38, 430500
39, 413375
40, 415167
41, 409166
42, 414584
43, 410459
44, 414084
45, 470750
46, 408333
47, 409292
48, 416500
49, 416917
50, 407375
51, 415125
52, 407750
53, 480000
54, 415708
55, 413375
56, 412209
57, 412458
58, 414541
59, 435958
60, 415291
61, 432292
62, 412041
63, 414292
64, 410917
65, 410625
66, 415417
67, 411667
68, 451416
69, 412791
70, 410541
71, 410916
72, 414000
73, 408708
74, 409583
75, 413000
76, 414625
77, 412292
78, 411084
79, 406458
80, 424167
81, 411833
82, 407584
83, 417916
84, 442667
85, 466291
86, 456917
87, 466000
88, 477375
89, 471709
90, 489292
91, 465625
92, 468750
93, 468833
94, 461333
95, 474542
96, 477208
97, 466958
98, 494125
99, 475458
100, 486458
101, 472708
102, 477083
103, 474042
104, 482042
105, 466083
106, 461792
107, 470208
108, 12764083
109, 432167
110, 408875
111, 419916
112, 442667
113, 419625
114, 407917
115, 447833
116, 440500
117, 412583
118, 426875
119, 412959
120, 412792
121, 408041
122, 410208
123, 409791
124, 424250
125, 412125
126, 466584
127, 440167
128, 582875
129, 413834
130, 404125
131, 410292
132, 439750
133, 410125
134, 450250
135, 431125
136, 410875
137, 446916
138, 427584
139, 418792
140, 431292
141, 410541
142, 407834
143, 407500
144, 410541
145, 413583
146, 410083
147, 407667
148, 580000
149, 410167
150, 410125
151, 447791
152, 421292
153, 416625
154, 409208
155, 412167
156, 428250
157, 430292
158, 414750
159, 409958
160, 417917
161, 412417
162, 407542
163, 411209
164, 478167
165, 419125
166, 412250
167, 413750
168, 408917
169, 408875
170, 410291
171, 409875
172, 429917
173, 408375
174, 410709
175, 403417
176, 411458
177, 446458
178, 422250
179, 416750
180, 444083
181, 418166
182, 413750
183, 405750
184, 412333
185, 410750
186, 413084
187, 409500
188, 434500
189, 413166
190, 410833
191, 472166
192, 434167
193, 426125
194, 411500
195, 406750
196, 458000
197, 430417
198, 411833
199, 415041
200, 412417
201, 414125
202, 431708
203, 434458
204, 462167
205, 425042
206, 417291
207, 412000
208, 410542
209, 415708
210, 419333
211, 408333
212, 444625
213, 434834
214, 1005209
215, 143333
216, 135333
217, 135000
218, 127709
219, 150583
220, 145000
221, 341292
222, 134708
223, 133875
224, 137458
225, 132166
226, 139166
227, 132667
228, 139792
229, 137959
230, 278417
231, 135916
232, 128083
233, 133042
234, 137166
235, 132333
236, 132167
237, 132500
238, 127708
239, 131417
240, 166084
241, 189958
242, 187042
243, 171459
244, 179084
245, 174875
246, 165875
247, 174667
248, 170291
249, 168667
250, 177875
251, 172833
252, 164708
253, 168167
254, 171291
255, 171917
256, 219667
257, 177584
258, 173375
259, 173333
260, 188625
261, 170042
262, 170375
263, 172750
264, 177417
265, 173542
266, 177000
267, 180750
268, 173042
269, 180583
270, 169292
271, 167291
272, 235458
273, 171333
274, 169708
275, 167291
276, 173041
277, 172958
278, 173708
279, 179458
280, 176583
281, 169584
282, 169250
283, 171541
284, 183500
285, 181208
286, 176833
287, 174875
288, 168792
289, 185458
290, 168583
291, 177500
292, 175792
293, 169500
294, 171458
295, 169417
296, 167042
297, 168167
298, 172250
299, 177500
300, 191541
301, 173208
302, 184834
303, 170708
304, 168542
305, 172708
306, 174833
307, 171125
308, 177375
309, 166584
310, 168208
311, 168750
312, 165875
313, 200875
314, 170250
315, 169542
316, 174542
317, 171709
318, 183458
319, 169750
320, 172500
321, 165166
322, 167041
323, 172417
324, 176583
325, 179167
326, 174125
327, 170250
328, 191000
329, 221667
330, 172875
331, 170666
332, 176583
333, 478125
334, 233709
335, 179583
336, 171000
337, 180291
338, 169667
339, 168625
340, 167917
341, 166083
342, 166375
343, 166458
344, 169875
345, 166625
346, 167333
347, 167625
348, 166750
349, 177125
350, 218583
351, 166000
352, 168750
353, 167584
354, 165375
355, 170292
356, 170542
357, 176917
358, 165625
359, 171750
360, 168625
361, 168458
362, 166584
363, 170250
364, 167750
365, 165084
366, 162917
367, 234083
368, 166916
369, 185667
370, 165792
371, 173125
372, 168542
373, 166833
374, 171750
375, 167500
376, 175333
377, 174166
378, 168250
379, 164959
380, 168959
381, 167125
382, 173125
383, 166291
384, 173083
385, 258542
386, 191250
387, 162708
388, 166292
389, 170125
390, 169000
391, 167000
392, 164709
393, 161750
394, 166583
395, 169000
396, 183125
397, 168583
398, 166791
399, 169208
400, 169083
401, 159041
402, 162250
403, 160208
404, 159125
405, 190208
406, 162041
407, 163583
408, 163542
409, 159166
410, 165167
411, 160583
412, 163459
413, 163000
414, 163583
415, 172084
416, 166833
417, 161584
418, 166375
419, 161209
420, 166500
421, 159708
422, 162208
423, 182083
424, 164250
425, 180500
426, 163417
427, 162375
428, 161750
429, 158583
430, 165709
431, 157875
432, 158750
433, 159542
434, 162667
435, 182459
436, 163417
437, 157417
438, 162750
439, 161500
440, 161083
441, 157375
442, 173417
443, 160875
444, 159208
445, 159083
446, 161666
447, 168625
448, 166042
449, 160917
450, 162750
451, 165334
452, 159083
453, 160167
454, 181875
455, 162458
456, 161792
457, 159666
458, 158708
459, 163583
460, 160042
461, 179875
462, 159125
463, 162291
464, 168500
465, 162958
466, 160583
467, 158750
468, 157417
469, 161791
470, 157958
471, 162250
472, 160041
473, 171584
474, 162250
475, 158333
476, 162875
477, 159750
478, 167292
479, 158708
480, 182083
481, 156208
482, 161000
483, 190792
484, 170834
485, 160750
486, 159958
487, 158083
488, 170833
489, 159042
490, 164250
491, 159042
492, 165250
493, 167333
494, 161125
495, 160625
496, 165750
497, 165542
498, 168375
499, 173625
500, 159625
501, 161375
502, 162292
503, 166333
504, 162666
505, 163667
506, 163083
507, 161834
508, 163708
509, 157208
510, 162541
511, 161333
512, 177334
513, 184375
514, 171875
515, 165542
516, 168417
517, 171416
518, 164916
519, 163625
520, 164833
521, 164167
522, 168375
523, 166292
524, 165500
525, 162875
526, 162000
527, 163334
528, 158584
529, 216291
530, 166667
531, 166583
532, 169209
533, 159583
534, 167125
535, 165791
536, 167417
537, 158958
538, 174167
539, 158666
540, 159416
541, 168709
542, 162083
543, 163375
544, 164083
545, 163917
546, 161125
547, 161083
548, 171500
549, 158792
550, 166792
551, 177375
552, 162291
553, 162500
554, 162916
555, 160584
556, 161084
557, 159292
558, 157792
559, 156584
560, 161416
561, 2033500
562, 136708
563, 124541
564, 122375
565, 127334
566, 126625
567, 120875
568, 120958
569, 123625
570, 121708
571, 125916
572, 124625
573, 123917
574, 124750
575, 119875
576, 124333
577, 121167
578, 119834
579, 122542
580, 322584
581, 147500
582, 138167
583, 137584
584, 123417
585, 123459
586, 121875
587, 122375
588, 123084
589, 124458
590, 131250
591, 125125
592, 119875
593, 125417
594, 118333
595, 264208
596, 121916
597, 122500
598, 124541
599, 124458
600, 133791
601, 127209
602, 124459
603, 123166
604, 122708
605, 124542
606, 122458
607, 118958
608, 123125
609, 123833
610, 155708
611, 127125
612, 120916
613, 125958
614, 125667
615, 126875
616, 124459
617, 127625
618, 138583
619, 135750
620, 122833
621, 123250
622, 134166
623, 129750
624, 128917
625, 124708
626, 124833
627, 128291
628, 121333
629, 137875
630, 124375
631, 124083
632, 120625
633, 120334
634, 132042
635, 120750
636, 127583
637, 120958
638, 122625
639, 131625
640, 137333
641, 121125
642, 123667
643, 122708
644, 122542
645, 122542
646, 124417
647, 140625
648, 123875
649, 123334
650, 118584
651, 126667
652, 122750
653, 127042
654, 122667
655, 128625
656, 119459
657, 124709
658, 133667
659, 130167
660, 130500
661, 137583
662, 125542
663, 131125
664, 122041
665, 143792
666, 139167
667, 119417
668, 130750
669, 132833
670, 123333
671, 124875
672, 125291
673, 120208
674, 122416
675, 122792
676, 119500
677, 136792
678, 137292
679, 125667
680, 122959
681, 120208
682, 121416
683, 126333
684, 124333
685, 120166
686, 120875
687, 126042
688, 120000
689, 123459
690, 125458
691, 121917
692, 127792
693, 124084
694, 119500
695, 122458
696, 122291
697, 129166
698, 142458
699, 141084
700, 120125
701, 122917
702, 123416
703, 124584
704, 124625
705, 147542
706, 145458
707, 144125
708, 147417
709, 130375
710, 122791
711, 123625
712, 123292
713, 126542
714, 123166
715, 123375
716, 129084
717, 233292
718, 148375
719, 155667
720, 167958
721, 159542
722, 161250
723, 163541
724, 160500
725, 161667
726, 157916
727, 140250
728, 136750
729, 120583
730, 130708
731, 128625
732, 120667
733, 122875
734, 137833
735, 122750
736, 129792
737, 127958
738, 126292
739, 129125
740, 128416
741, 127000
742, 137459
743, 129333
744, 148583
745, 142625
746, 150959
747, 143750
748, 125958
749, 130500
750, 128125
751, 126000
752, 125000
753, 130417
754, 125417
755, 132083
756, 130458
757, 128291
758, 137416
759, 144083
760, 140500
761, 141875
762, 138000
763, 123625
764, 123792
765, 152250
766, 142875
767, 119833
768, 126042
769, 122542
770, 121709
771, 142041
772, 138541
773, 124042
774, 126584
775, 133417
776, 124666
777, 128250
778, 123166
779, 123334
780, 123958
781, 121875
782, 122209
783, 122667
784, 125666
785, 139417
786, 121167
787, 120083
788, 122500
789, 120208
790, 126541
791, 126625
792, 124125
793, 119708
794, 130500
795, 124417
796, 119958
797, 119791
798, 120208
799, 125084
800, 159083
801, 166333
802, 138750
803, 165041
804, 147375
805, 126875
806, 123792
807, 131667
808, 125500
809, 131250
810, 126500
811, 131958
812, 130375
813, 123500
814, 131292
815, 127084
816, 125083
817, 129000
818, 124250
819, 132666
820, 145042
821, 142292
822, 145917
823, 154542
824, 149625
825, 134375
826, 128666
827, 125583
828, 125834
829, 126500
830, 126167
831, 130792
832, 125833
833, 134834
834, 133333
835, 123541
836, 134792
837, 140000
838, 144667
839, 144542
840, 140459
841, 134291
842, 139584
843, 140333
844, 130166
845, 129708
846, 120208
847, 121916
848, 121708
849, 126458
850, 127500
851, 125000
852, 122250
853, 182791
854, 124208
855, 155458
856, 142875
857, 138958
858, 138667
859, 133208
860, 119000
861, 122750
862, 130500
863, 124792
864, 126417
865, 126500
866, 125084
867, 119709
868, 122583
869, 123084
870, 124083
871, 130458
872, 129375
873, 139083
874, 142750
875, 133416
876, 137750
877, 133458
878, 120958
879, 119625
880, 117833
881, 127917
882, 130792
883, 121834
884, 127167
885, 119250
886, 126083
887, 124042
888, 124917
889, 119875
890, 124583
891, 136458
892, 136833
893, 141375
894, 141791
895, 139750
896, 132750
897, 124291
898, 122167
899, 120083
900, 121250
901, 126083
902, 133625
903, 122375
904, 121417
905, 124917
906, 127125
907, 121791
908, 123875
909, 132125
910, 136875
911, 147625
912, 143125
913, 142250
914, 138334
915, 124625
916, 123208
917, 125459
918, 126583
919, 120542
